time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-15 15:45:21,NodoTest,26.81,61.3,1003.0,14.0,-94,
2025-09-15 15:46:21,NodoTest,26.82,61.5,1003.0,14.0,-94,
2025-09-15 15:47:21,NodoTest,26.82,61.47,1003.0,14.0,-93,
2025-09-15 15:48:21,NodoTest,26.79,61.39,1003.0,12.0,-96,
2025-09-15 15:49:22,NodoTest,26.8,61.36,1003.0,14.0,-97,
2025-09-15 15:50:22,NodoTest,26.8,61.13,1003.0,12.0,-94,
2025-09-15 15:51:22,NodoTest,26.81,61.35,1003.0,16.0,-101,
2025-09-15 15:52:22,NodoTest,26.81,61.36,1003.0,12.0,-97,
2025-09-15 15:53:22,NodoTest,26.82,61.53,1003.0,14.0,-94,
2025-09-15 15:54:22,NodoTest,26.84,61.56,1003.0,14.0,-96,
2025-09-15 15:55:22,NodoTest,26.81,61.12,1003.0,12.0,-97,
2025-09-15 15:56:23,NodoTest,26.82,61.35,1003.0,16.0,-94,
2025-09-15 15:57:23,NodoTest,26.8,61.47,1003.0,14.0,-92,
2025-09-15 15:58:23,NodoTest,26.82,61.4,1003.0,14.0,-97,
2025-09-15 15:59:23,NodoTest,26.82,61.69,1003.0,14.0,-94,
2025-09-15 16:00:23,NodoTest,26.82,61.44,1003.0,16.0,-96,
2025-09-15 16:01:23,NodoTest,26.83,61.66,1003.0,14.0,-96,
2025-09-15 16:02:23,NodoTest,26.81,61.67,1003.0,12.0,-92,
2025-09-15 16:03:24,NodoTest,26.83,61.95,1003.0,18.0,-97,
2025-09-15 16:04:24,NodoTest,26.85,62.25,1003.0,14.0,-101,
2025-09-15 16:05:24,NodoTest,26.85,62.12,1003.0,14.0,-93,
2025-09-15 16:06:24,NodoTest,26.87,62.18,1003.0,14.0,-96,
2025-09-15 16:07:24,NodoTest,26.87,62.3,1003.0,16.0,-96,
2025-09-15 16:08:24,NodoTest,26.86,62.49,1003.0,14.0,-96,
2025-09-15 16:09:24,NodoTest,26.84,62.64,1003.0,16.0,-103,
2025-09-15 16:10:25,NodoTest,26.9,62.74,1003.0,14.0,-98,
2025-09-15 16:11:25,NodoTest,26.88,62.79,1003.0,14.0,-97,
2025-09-15 16:12:25,NodoTest,26.92,63.07,1003.0,14.0,-95,
2025-09-15 16:13:25,NodoTest,26.92,63.1,1003.0,14.0,-93,
2025-09-15 16:14:25,NodoTest,26.92,63.01,1003.0,14.0,-92,
2025-09-15 16:15:25,NodoTest,26.94,63.09,1003.0,12.0,-95,
2025-09-15 16:16:25,NodoTest,26.95,62.97,1003.0,16.0,-110,
2025-09-15 16:17:26,NodoTest,26.96,63.11,1003.0,18.0,-95,
2025-09-15 16:18:26,NodoTest,26.9,62.93,1003.0,14.0,-95,
