time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-31 00:31:45,Salón - Uma,62.3,Background Noise,56.5,56.5,56.6,0.0,96.9,3.1,0.0,53.6,56.1,58.5,-102,9.8
2026-01-31 00:34:03,Pasillo Administrativo,57.2,Background Noise,56.2,56.2,0.0,0.0,100.0,0.0,0.0,56.2,56.2,56.2,-111,3.8
2026-01-31 00:34:33,Salón - Extremo,52.3,Background Noise,46.5,46.5,0.0,0.0,100.0,0.0,0.0,40.1,40.7,50.7,-92,13.5
2026-01-31 00:35:36,Pasillo de Laboratorio,51.4,Background Noise,44.6,44.6,40.7,0.0,99.9,0.1,0.0,40.0,40.3,50.7,-86,10.0
2026-01-31 00:35:48,Main Lobby,50.3,Background Noise,50.3,50.3,50.3,0.0,99.9,0.1,0.0,50.3,50.3,50.3,-89,14.3
2026-01-31 00:36:41,Pasillo de Salones,55.1,Background Noise,50.2,50.2,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.5,-88,14.0
2026-01-31 00:36:45,Salón - Uma,66.4,Background Noise,56.5,56.5,56.9,0.0,98.2,1.8,0.0,53.6,56.1,58.5,-105,8.0
2026-01-31 00:39:03,Pasillo Administrativo,58.5,Background Noise,55.8,55.8,0.0,0.0,100.0,0.0,0.0,55.8,55.8,55.8,-112,2.8
2026-01-31 00:39:33,Salón - Extremo,52.7,Background Noise,46.4,46.4,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-89,13.8
2026-01-31 00:40:36,Pasillo de Laboratorio,51.8,Background Noise,44.9,44.9,0.0,0.0,100.0,0.0,0.0,40.1,40.4,50.2,-87,13.3
2026-01-31 00:40:49,Main Lobby,50.3,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,50.3,50.3,50.3,-90,13.0
2026-01-31 00:41:41,Pasillo de Salones,54.8,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.4,50.8,52.6,-88,14.5
2026-01-31 00:41:45,Salón - Uma,63.9,Background Noise,56.4,56.4,56.4,0.0,96.8,3.2,0.0,53.7,56.0,58.4,-96,11.8
2026-01-31 00:44:33,Salón - Extremo,52.6,Background Noise,46.4,46.4,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-88,13.8
2026-01-31 00:45:36,Pasillo de Laboratorio,51.7,Background Noise,46.0,46.0,0.0,0.0,100.0,0.0,0.0,40.1,40.5,50.5,-86,14.0
2026-01-31 00:45:49,Main Lobby,50.3,Background Noise,48.9,48.9,50.3,0.0,99.9,0.1,0.0,40.1,50.3,50.3,-88,14.0
2026-01-31 00:46:41,Pasillo de Salones,55.9,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.6,-88,14.0
2026-01-31 00:46:42,Salón - Uma,65.1,Background Noise,56.4,56.4,56.5,0.0,96.8,3.2,0.0,53.8,56.0,58.3,-104,8.0
2026-01-31 00:49:03,Pasillo Administrativo,59.0,Background Noise,57.5,57.5,57.5,0.0,99.9,0.1,0.0,57.5,57.5,57.5,-112,1.8
2026-01-31 00:49:33,Salón - Extremo,52.2,Background Noise,46.1,46.1,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-88,14.3
2026-01-31 00:50:36,Pasillo de Laboratorio,52.5,Background Noise,46.2,46.2,0.0,0.0,100.0,0.0,0.0,40.1,40.7,50.4,-86,13.8
2026-01-31 00:50:49,Main Lobby,50.2,Background Noise,47.5,47.5,40.1,0.0,99.9,0.1,0.0,40.1,40.1,50.2,-89,11.5
2026-01-31 00:51:41,Pasillo de Salones,56.1,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.4,50.8,52.5,-88,14.3
2026-01-31 00:51:42,Salón - Uma,64.1,Background Noise,56.4,56.4,56.4,0.0,96.8,3.2,0.0,53.7,55.9,58.3,-107,8.0
2026-01-31 00:54:04,Pasillo Administrativo,57.5,Background Noise,50.7,50.7,50.7,0.0,99.9,0.1,0.0,50.7,50.7,50.7,-115,-1.3
2026-01-31 00:54:34,Salón - Extremo,52.5,Background Noise,46.2,46.2,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-91,11.5
2026-01-31 00:55:36,Pasillo de Laboratorio,52.4,Background Noise,45.9,45.9,0.0,0.0,100.0,0.0,0.0,40.0,40.6,50.7,-86,14.0
