time,deviceName,laeq_global_dB,dominant_class,dominant_pct,lafmax_dB,lafmax_class,LAeq_common,LAeq_impact,LAeq_rotarytool,LAeq_person,LAeq_vehicle,pct_common,pct_impact,pct_rotarytool,pct_person,pct_vehicle,L10_dB,L50_dB,L90_dB,rssi,snr
2026-06-12 00:01:50,Salón - Extremo Civil,15.04,Silence,0.0,15.524,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.483,15.145,14.611,-116,-4.5
2026-06-12 00:01:51,Laboratorios Civil Superior,30.951,Silence,0.0,32.033,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.481,30.72,28.984,-97,11.8
2026-06-12 00:01:51,Laboratorios Civil Central,49.349,Mixed,67.188,51.202,Group 3 (Rotary Tool),48.462,0.0,50.336,0.0,0.0,67.188,4.253,10.807,0.174,17.665,51.657,49.51,46.073,-88,12.5
2026-06-12 00:01:53,Laboratorios Eléctrica Superior,12.527,Silence,0.0,14.019,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.844,12.326,11.759,-96,11.0
2026-06-12 00:01:59,Lobby Eléctrica,27.551,Silence,0.0,30.487,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.263,27.248,26.085,-96,11.3
2026-06-12 00:02:00,Salón - Uma Eléctrica,43.33,Silence,0.0,44.019,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.375,43.259,42.587,-98,11.5
2026-06-12 00:02:05,Pasillo Salones Civil,16.2,Silence,0.0,17.438,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.35,16.316,14.812,-90,11.5
2026-06-12 00:02:08,Pasillo Decanato Civil,22.119,Silence,0.0,23.248,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.918,22.005,21.552,-90,11.5
2026-06-12 00:02:15,Pasillo Decanato Eléctrica,14.222,Silence,0.0,14.719,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.596,14.194,13.749,-95,12.3
2026-06-12 00:02:15,Laboratorios Civil Inferior,37.811,Silence,0.0,38.914,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.684,37.557,37.215,-113,1.8
2026-06-12 00:02:16,Salón - Uma Civil,11.947,Silence,0.0,13.166,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.491,12.297,10.995,-93,11.5
2026-06-12 00:02:24,Pasillo Salones Eléctrica,29.683,Silence,0.0,30.964,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.788,29.41,28.683,-101,10.0
2026-06-12 00:02:29,Lobby Civil,53.224,Mixed,39.063,65.584,Group 1 (Common),60.575,45.578,0.0,0.0,64.811,33.29,39.063,0.0,0.781,26.78,62.391,46.441,41.784,-89,11.0
2026-06-12 00:02:29,Salón - Extremo Eléctrica,16.893,Silence,0.0,18.553,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.774,17.019,15.111,-101,11.2
2026-06-12 00:02:36,Laboratorios Eléctrica Centro,16.252,Silence,0.0,16.975,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.891,16.13,15.795,-91,12.5
