time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-02-02 00:00:14,Pasillo Administrativo,58.3,Background Noise,58.3,58.3,0.0,0.0,100.0,0.0,0.0,58.3,58.3,58.3,-115,-1.8
2026-02-02 00:00:45,Salón - Extremo,71.2,Background Noise,53.7,51.9,60.3,51.7,90.3,9.1,0.6,40.1,40.9,52.7,-78,12.8
2026-02-02 00:01:47,Pasillo de Laboratorio,53.0,Background Noise,46.2,46.2,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-88,13.3
2026-02-02 00:01:59,Main Lobby,57.0,People,40.9,40.5,46.9,0.0,97.3,2.7,0.0,40.0,40.2,40.4,-88,13.8
2026-02-02 00:02:52,Pasillo de Salones,59.6,People,49.7,49.6,51.8,0.0,96.7,3.2,0.0,40.3,50.4,52.2,-90,11.5
2026-02-02 00:02:56,Salón - Uma,63.8,Background Noise,56.3,56.2,56.8,0.0,96.3,3.7,0.0,53.4,55.9,58.2,-111,4.0
2026-02-02 00:05:14,Pasillo Administrativo,58.1,Background Noise,57.8,57.8,0.0,0.0,100.0,0.0,0.0,57.8,57.8,57.8,-111,4.3
