time,deviceName,laeq_global_dB,dominant_class,dominant_pct,lafmax_dB,lafmax_class,LAeq_common,LAeq_impact,LAeq_rotarytool,LAeq_person,LAeq_vehicle,pct_common,pct_impact,pct_rotarytool,pct_person,pct_vehicle,L10_dB,L50_dB,L90_dB,rssi,snr
2026-06-02 00:00:01,Laboratorios Civil Central,51.29,Group 1 (Common),93.837,52.446,Group 1 (Common),51.508,0.0,0.0,0.0,0.0,93.837,0.0,0.26,0.0,5.816,52.429,51.172,50.588,-115,1.0
2026-06-02 00:00:18,Laboratorios Eléctrica Superior,17.701,Silence,0.0,19.485,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.044,17.504,15.996,-93,12.0
2026-06-02 00:00:19,Laboratorios Civil Inferior,30.478,Silence,0.0,31.735,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.682,30.124,29.067,-107,7.5
2026-06-02 00:00:23,Laboratorios Eléctrica Centro,18.249,Silence,0.0,19.362,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.629,18.425,17.062,-111,2.0
2026-06-02 00:00:59,Pasillo Salones Civil,22.276,Silence,0.0,32.785,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.101,17.105,15.358,-89,11.8
2026-06-02 00:01:05,Lobby Civil,41.619,Silence,0.0,42.529,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.427,41.377,40.712,-113,2.5
2026-06-02 00:01:16,Laboratorios Civil Superior,42.421,Silence,0.0,43.288,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.472,42.391,41.106,-95,12.3
2026-06-02 00:02:05,Pasillo Decanato Civil,20.131,Silence,0.0,20.747,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.617,20.192,19.221,-99,12.0
2026-06-02 00:03:26,Laboratorios Eléctrica Inferior,15.926,Silence,0.0,16.563,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.652,15.78,14.943,-105,-0.2
2026-06-02 00:03:45,Salón - Uma Civil,9.945,Silence,0.0,10.407,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32,9.978,9.592,-107,7.5
2026-06-02 00:04:01,Pasillo Decanato Eléctrica,19.478,Silence,0.0,20.055,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.039,19.413,19.086,-113,1.8
2026-06-02 00:04:14,Salón - Uma Eléctrica,43.244,Silence,0.0,43.944,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.918,43.425,42.142,-97,13.0
2026-06-02 00:04:41,Lobby Eléctrica,39.002,Silence,0.0,43.657,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.317,36.216,31.86,-112,2.5
2026-06-02 00:04:53,Salón - Extremo Civil,15.157,Silence,0.0,15.708,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.817,15.2,14.538,-91,12.5
2026-06-02 00:04:55,Pasillo Salones Eléctrica,27.518,Silence,0.0,28.537,Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.574,27.347,26.596,-97,11.2
