time,deviceName,message_type,payload_type,encoding,flags_raw,sequence,voltage_calibration,current_and_power_calibration,utc_time_valid,coverage_at_least_95_percent,ade_measurements_valid,voltage_calibrated,frequency_window_valid,current_calibrated,fundamental_measurement_valid,queued_or_backlogged,interval_end_unix_s,interval_end_iso,interval_end_uptime_s,interval_end_not_transmitted,coverage_permille,coverage_percent,voltage_rms_v,voltage_rms_min_v,voltage_rms_max_v,frequency_hz,frequency_min_hz,frequency_max_hz,current_rms_a,active_power_w,reactive_power_var,apparent_power_va,active_energy_wh,reactive_energy_varh,apparent_energy_vah,power_factor,voltage_thd_percent,voltage_thd_max_percent,current_thd_percent,current_thd_max_percent,temperature_c,event_count,worst_event_code,worst_event,gatewayName,gatewayId,rssi,snr
2026-07-24 12:23:04,PrimerTest,power_quality_summary,16.0,extended,132.0,1.0,provisional,provisional,False,False,True,False,False,False,False,True,,,602.0,,53.0,5.3,0.1,0.1,0.1,,,,0.0,0,0,0,0.0,0.0,0.0,0.9938,,,,,25,1.0,18.0,voltage_interruption,GatewayELII,00005813d369a0ef,-85,10.8
2026-07-24 16:30:50,PrimerTest,power_quality_summary,16.0,extended,133.0,1.0,provisional,provisional,True,False,True,False,False,False,False,True,1784928600.0,2026-07-24T21:30:00.000Z,,,13.0,1.3,0.1,0.1,0.1,,,,0.0,0,0,0,0.0,0.0,0.0,1.0,,,,,25,0.0,0.0,none,GatewayELII,00005813d369a0ef,-84,10.5
2026-07-24 16:40:00,PrimerTest,power_quality_summary,16.0,extended,5.0,1.0,provisional,provisional,True,False,True,False,False,False,False,False,1784929200.0,2026-07-24T21:40:00.000Z,,,359.0,35.9,0.1,0.1,0.1,,,,0.0,0,0,0,0.0,0.0,0.0,1.0,,,,,25,0.0,0.0,none,GatewayELII,00005813d369a0ef,-87,9.5
2026-07-24 16:50:00,PrimerTest,power_quality_summary,16.0,extended,7.0,2.0,provisional,provisional,True,True,True,False,False,False,False,False,1784929800.0,2026-07-24T21:50:00.000Z,,,1000.0,100.0,0.1,0.0,0.1,,,,0.0,0,0,0,0.0,0.0,0.0,1.0,,,,,25,0.0,0.0,none,GatewayELII,00005813d369a0ef,-101,7.0
2026-07-24 17:00:00,PrimerTest,power_quality_summary,16.0,extended,7.0,3.0,provisional,provisional,True,True,True,False,False,False,False,False,1784930400.0,2026-07-24T22:00:00.000Z,,,1000.0,100.0,0.1,0.0,0.1,,,,0.0,0,0,0,0.0,0.0,0.0,1.0,,,,,26,0.0,0.0,none,GatewayELII,00005813d369a0ef,-85,9.5
2026-07-24 17:59:59,PrimerTest,power_quality_summary,16.0,extended,5.0,1.0,provisional,provisional,True,False,True,False,False,False,False,False,1784934000.0,2026-07-24T23:00:00.000Z,,,305.0,30.5,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.0,0.0,1.0,,,,,27,0.0,0.0,none,GatewayELII,00005813d369a0ef,-80,9.2
2026-07-24 18:19:34,PrimerTest,power_quality_summary,16.0,extended,135.0,2.0,provisional,provisional,True,True,True,False,False,False,False,True,1784934600.0,2026-07-24T23:10:00.000Z,,,1000.0,100.0,108.3,0.0,122.3,59.993,59.957,60.033,0.32,18,-4,33,3.0,-0.6,5.6,0.6125,1.94,142.17,144.39,310.85,26,4.0,18.0,voltage_interruption,GatewayELII,00005813d369a0ef,-93,9.2
2026-07-24 18:19:59,PrimerTest,power_quality_summary,16.0,extended,7.0,3.0,provisional,provisional,True,True,True,False,False,False,False,False,1784935200.0,2026-07-24T23:20:00.000Z,,,1000.0,100.0,114.8,0.0,123.7,60.013,59.969,60.047,0.32,18,-4,33,3.0,-0.6,5.5,0.5329,2.19,551.5,132.53,655.34,26,8.0,18.0,voltage_interruption,GatewayELII,00005813d369a0ef,-89,10.0
2026-07-24 18:29:59,PrimerTest,power_quality_summary,16.0,extended,87.0,4.0,provisional,provisional,True,True,True,False,True,False,True,False,1784935800.0,2026-07-24T23:30:00.000Z,,,999.0,99.9,122.0,121.4,122.3,59.996,59.957,60.033,0.37,24,-4,45,4.1,-0.7,7.5,0.5454,1.68,2.19,148.81,156.68,26,0.0,0.0,none,GatewayELII,00005813d369a0ef,-99,9.8
2026-07-24 18:39:59,PrimerTest,power_quality_summary,16.0,extended,87.0,5.0,provisional,provisional,True,True,True,False,True,False,True,False,1784936400.0,2026-07-24T23:40:00.000Z,,,1000.0,100.0,121.9,121.4,122.3,60.0,59.957,60.039,0.37,24,-5,45,4.1,-0.8,7.4,0.5491,1.72,2.6,146.93,151.49,26,0.0,0.0,none,GatewayELII,00005813d369a0ef,-96,10.0
2026-07-24 18:49:59,PrimerTest,power_quality_summary,16.0,extended,23.0,6.0,provisional,provisional,True,True,True,False,True,False,False,False,1784937000.0,2026-07-24T23:50:00.000Z,,,1000.0,100.0,122.0,121.3,122.4,60.005,59.963,60.042,0.4,27,-5,48,4.4,-0.9,8.0,0.5483,1.69,2.18,146.32,168.51,26,0.0,0.0,none,GatewayELII,00005813d369a0ef,-93,10.8
2026-07-24 19:09:59,PrimerTest,power_quality_summary,16.0,extended,87.0,8.0,provisional,provisional,True,True,True,False,True,False,True,False,1784938200.0,2026-07-25T00:10:00.000Z,,,1000.0,100.0,122.5,121.9,122.9,60.0,59.967,60.039,0.46,32,-7,56,5.3,-1.1,9.4,0.562,1.45,1.87,140.85,154.24,26,0.0,0.0,none,GatewayELII,00005813d369a0ef,-95,9.8
