time,deviceName,message_type,payload_type,encoding,flags_raw,sequence,voltage_calibration,current_and_power_calibration,utc_time_valid,coverage_at_least_95_percent,ade_measurements_valid,voltage_calibrated,frequency_window_valid,current_calibrated,fundamental_measurement_valid,queued_or_backlogged,interval_end_unix_s,interval_end_iso,interval_end_uptime_s,interval_end_not_transmitted,coverage_permille,coverage_percent,voltage_rms_v,voltage_rms_min_v,voltage_rms_max_v,frequency_hz,frequency_min_hz,frequency_max_hz,current_rms_a,active_power_w,reactive_power_var,apparent_power_va,active_energy_wh,reactive_energy_varh,apparent_energy_vah,power_factor,voltage_thd_percent,voltage_thd_max_percent,current_thd_percent,current_thd_max_percent,temperature_c,event_count,worst_event_code,worst_event,gatewayName,gatewayId,rssi,snr
2026-08-07 02:20:04,PrimerTest,power_quality_summary,16.0,extended,87.0,1923.0,provisional,provisional,True,True,True,False,True,False,True,False,1786087200.0,2026-08-07T07:20:00.000Z,,,1000.0,100.0,123.7,123.5,124.1,60.006,59.966,60.053,0.44,30,-5,55,5.0,-0.9,9.1,0.5533,1.44,2.15,145.57,149.85,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,8.5
2026-08-07 02:30:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1924.0,provisional,provisional,True,True,True,False,True,False,False,False,1786087800.0,2026-08-07T07:30:00.000Z,,,999.0,99.9,123.7,123.4,124.0,60.0,59.971,60.031,0.44,30,-5,54,5.0,-0.9,9.0,0.5531,1.43,2.09,145.73,149.09,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,9.2
2026-08-07 02:40:04,PrimerTest,power_quality_summary,16.0,extended,23.0,1925.0,provisional,provisional,True,True,True,False,True,False,False,False,1786088400.0,2026-08-07T07:40:00.000Z,,,1000.0,100.0,123.7,123.4,124.1,60.002,59.97,60.038,0.44,30,-5,54,5.0,-0.9,9.1,0.5567,1.42,2.33,144.32,147.43,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,9.5
2026-08-07 02:50:04,PrimerTest,power_quality_summary,16.0,extended,87.0,1926.0,provisional,provisional,True,True,True,False,True,False,True,False,1786089000.0,2026-08-07T07:50:00.000Z,,,1000.0,100.0,123.6,123.3,123.9,60.005,59.97,60.048,0.44,30,-5,54,5.0,-0.9,9.0,0.5606,1.54,2.7,142.26,156.74,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-87,9.0
2026-08-07 03:10:04,PrimerTest,power_quality_summary,16.0,extended,23.0,1928.0,provisional,provisional,True,True,True,False,True,False,False,False,1786090200.0,2026-08-07T08:10:00.000Z,,,1000.0,100.0,123.3,122.9,123.6,59.996,59.962,60.032,0.44,30,-5,55,5.0,-0.9,9.1,0.5522,1.42,2.06,146.27,156.03,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,8.2
2026-08-07 03:20:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1929.0,provisional,provisional,True,True,True,False,True,False,True,False,1786090800.0,2026-08-07T08:20:00.000Z,,,999.0,99.9,123.4,123.1,123.7,59.992,59.963,60.031,0.44,30,-5,55,5.0,-0.8,9.1,0.5527,1.41,2.16,146.05,149.89,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,10.0
2026-08-07 03:30:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1930.0,provisional,provisional,True,True,True,False,True,False,True,False,1786091400.0,2026-08-07T08:30:00.000Z,,,1000.0,100.0,123.5,123.2,123.9,60.001,59.966,60.033,0.44,30,-5,54,5.0,-0.8,9.0,0.5537,1.4,1.97,145.58,148.77,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,10.2
2026-08-07 03:40:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1931.0,provisional,provisional,True,True,True,False,True,False,False,False,1786092000.0,2026-08-07T08:40:00.000Z,,,1000.0,100.0,123.5,123.1,123.8,60.001,59.965,60.037,0.44,30,-5,55,5.0,-0.9,9.1,0.5521,1.39,2.09,146.15,149.62,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,10.5
2026-08-07 03:50:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1932.0,provisional,provisional,True,True,True,False,True,False,False,False,1786092600.0,2026-08-07T08:50:00.000Z,,,1000.0,100.0,123.5,123.0,123.9,60.001,59.971,60.038,0.45,30,-5,55,5.0,-0.9,9.2,0.5486,1.48,2.81,147.79,155.11,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,9.5
2026-08-07 04:00:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1933.0,provisional,provisional,True,True,True,False,True,False,False,False,1786093200.0,2026-08-07T09:00:00.000Z,,,1000.0,100.0,123.7,122.8,124.0,60.001,59.968,60.037,0.44,30,-5,54,5.0,-0.8,9.0,0.5532,1.4,5.5,145.79,149.96,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-87,9.0
2026-08-07 04:10:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1934.0,provisional,provisional,True,True,True,False,True,False,False,False,1786093800.0,2026-08-07T09:10:00.000Z,,,1000.0,100.0,123.6,122.7,124.0,60.003,59.974,60.046,0.44,30,-6,54,5.0,-0.9,9.1,0.555,1.53,4.17,144.39,149.5,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,9.5
2026-08-07 04:20:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1935.0,provisional,provisional,True,True,True,False,True,False,False,False,1786094400.0,2026-08-07T09:20:00.000Z,,,1000.0,100.0,123.5,123.2,123.8,59.999,59.954,60.042,0.45,31,-5,55,5.1,-0.9,9.2,0.5538,1.4,1.95,145.47,150.1,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-90,10.0
2026-08-07 04:30:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1936.0,provisional,provisional,True,True,True,False,True,False,True,False,1786095000.0,2026-08-07T09:30:00.000Z,,,1000.0,100.0,123.5,123.3,123.8,60.004,59.973,60.047,0.44,30,-5,54,5.0,-0.9,9.0,0.5549,1.37,1.95,145.09,149.05,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,7.5
2026-08-07 04:40:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1937.0,provisional,provisional,True,True,True,False,True,False,True,False,1786095600.0,2026-08-07T09:40:00.000Z,,,1000.0,100.0,123.5,123.3,123.8,59.998,59.956,60.037,0.44,30,-5,55,5.1,-0.9,9.1,0.5553,1.37,1.86,144.93,148.44,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-90,10.2
2026-08-07 04:50:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1938.0,provisional,provisional,True,True,True,False,True,False,False,False,1786096200.0,2026-08-07T09:50:00.000Z,,,1000.0,100.0,123.5,123.0,123.8,60.0,59.974,60.045,0.44,30,-5,55,5.0,-0.9,9.1,0.5536,1.33,2.08,145.7,149.31,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-91,8.8
2026-08-07 05:00:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1939.0,provisional,provisional,True,True,True,False,True,False,False,False,1786096800.0,2026-08-07T10:00:00.000Z,,,1000.0,100.0,123.7,123.3,124.4,60.001,59.967,60.044,0.44,30,-5,54,5.0,-0.8,9.0,0.5528,1.23,1.86,146.07,149.56,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,9.0
