time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-12 00:00:07,INMP441,50.0,Background Noise,50.0,0.0,-110,3.8
2025-12-12 00:01:07,INMP441,50.0,Vehicle,50.0,0.0,-106,8.8
2025-12-12 00:02:07,INMP441,50.0,People,50.0,0.0,-109,7.0
2025-12-12 00:03:07,INMP441,50.0,Background Noise,50.0,0.0,-105,5.5
2025-12-12 00:04:08,INMP441,50.0,Background Noise,50.0,0.0,-109,6.3
2025-12-12 00:05:08,INMP441,50.0,Background Noise,50.0,0.0,-108,7.5
2025-12-12 00:06:08,INMP441,50.0,Background Noise,50.0,0.0,-108,5.0
2025-12-12 00:07:08,INMP441,50.0,Background Noise,50.0,0.0,-105,9.8
2025-12-12 00:08:08,INMP441,50.0,People,50.0,0.0,-107,8.3
2025-12-12 00:09:08,INMP441,50.0,Vehicle,50.0,0.0,-110,5.0
2025-12-12 00:10:08,INMP441,50.0,People,50.0,0.0,-104,10.0
2025-12-12 00:11:08,INMP441,50.0,Background Noise,50.0,0.0,-108,6.3
2025-12-12 00:12:08,INMP441,50.0,People,50.0,0.0,-107,6.3
2025-12-12 00:13:08,INMP441,50.0,People,50.0,0.0,-105,9.5
2025-12-12 00:14:08,INMP441,50.0,People,50.0,0.0,-105,5.8
2025-12-12 00:15:08,INMP441,50.0,Background Noise,50.0,0.0,-113,2.0
2025-12-12 00:16:08,INMP441,50.0,People,50.0,0.0,-107,8.3
2025-12-12 00:17:08,INMP441,50.0,Background Noise,50.0,0.0,-108,7.0
2025-12-12 00:18:08,INMP441,50.0,Vehicle,50.0,0.0,-105,9.8
2025-12-12 00:19:08,INMP441,50.0,Vehicle,50.0,0.0,-106,7.3
2025-12-12 00:20:08,INMP441,50.0,People,50.0,0.0,-109,6.3
2025-12-12 00:21:08,INMP441,50.0,People,50.0,0.0,-106,8.8
2025-12-12 00:22:08,INMP441,50.0,Background Noise,50.0,0.0,-109,6.5
2025-12-12 00:23:08,INMP441,50.0,Background Noise,50.0,0.0,-109,6.0
2025-12-12 00:24:08,INMP441,50.0,Background Noise,50.0,0.0,-107,8.0
2025-12-12 00:25:08,INMP441,50.0,Background Noise,50.0,0.0,-106,9.0
2025-12-12 00:26:08,INMP441,50.0,Background Noise,50.0,0.0,-104,8.8
2025-12-12 00:27:08,INMP441,50.0,Background Noise,50.0,0.0,-105,9.0
2025-12-12 00:28:08,INMP441,50.0,Background Noise,50.0,0.0,-107,7.3
2025-12-12 00:29:08,INMP441,50.0,People,50.0,0.0,-109,6.3
2025-12-12 00:30:09,INMP441,50.0,People,50.0,0.0,-107,7.0
2025-12-12 00:31:09,INMP441,50.0,People,50.0,0.0,-107,6.8
2025-12-12 00:32:09,INMP441,50.0,People,50.0,0.0,-108,6.3
2025-12-12 00:33:09,INMP441,50.0,Background Noise,50.0,0.0,-105,9.3
2025-12-12 00:34:09,INMP441,50.0,Background Noise,50.0,0.0,-106,8.3
2025-12-12 00:35:09,INMP441,50.0,People,50.0,0.0,-106,8.8
2025-12-12 00:36:09,INMP441,50.0,Background Noise,50.0,0.0,-110,6.0
2025-12-12 00:37:09,INMP441,50.0,Background Noise,50.0,0.0,-110,5.3
2025-12-12 00:38:09,INMP441,50.0,Vehicle,50.0,0.0,-108,6.8
2025-12-12 00:39:09,INMP441,50.0,Background Noise,50.0,0.0,-110,4.8
2025-12-12 00:40:09,INMP441,50.0,Background Noise,50.0,0.0,-105,9.5
2025-12-12 00:41:09,INMP441,50.0,Vehicle,50.0,0.0,-105,9.3
2025-12-12 00:42:09,INMP441,50.0,Background Noise,50.0,0.0,-108,6.8
2025-12-12 00:43:09,INMP441,50.0,Background Noise,50.0,0.0,-109,5.5
2025-12-12 00:44:09,INMP441,50.0,People,50.0,0.0,-110,5.3
2025-12-12 00:45:09,INMP441,50.0,People,50.0,0.0,-106,8.8
2025-12-12 00:46:09,INMP441,50.0,People,50.0,0.0,-108,7.3
2025-12-12 00:47:09,INMP441,50.0,Vehicle,50.0,0.0,-107,7.0
2025-12-12 00:48:09,INMP441,50.0,Background Noise,50.0,0.0,-104,9.0
2025-12-12 00:49:09,INMP441,50.0,Background Noise,50.0,0.0,-104,10.3
2025-12-12 00:50:09,INMP441,50.0,People,50.0,0.0,-106,8.5
2025-12-12 00:51:09,INMP441,50.0,People,50.0,0.0,-106,8.3
2025-12-12 00:52:09,INMP441,50.0,Background Noise,50.0,0.0,-107,8.5
2025-12-12 00:53:09,INMP441,50.0,Background Noise,50.0,0.0,-107,7.0
2025-12-12 00:54:09,INMP441,50.0,Background Noise,50.0,0.0,-109,6.5
2025-12-12 00:55:09,INMP441,50.0,Background Noise,50.0,0.0,-109,7.0
2025-12-12 00:56:09,INMP441,50.0,Vehicle,50.0,0.0,-108,7.5
2025-12-12 00:57:10,INMP441,50.0,Background Noise,50.0,0.0,-109,6.0
2025-12-12 00:58:10,INMP441,50.0,People,50.0,0.0,-106,8.0
2025-12-12 00:59:10,INMP441,50.0,People,50.0,0.0,-105,9.5
2025-12-12 01:00:10,INMP441,50.0,Vehicle,50.0,0.0,-106,8.8
2025-12-12 01:01:10,INMP441,50.0,Vehicle,50.0,0.0,-106,7.5
2025-12-12 01:02:10,INMP441,50.0,Background Noise,50.0,0.0,-109,6.8
2025-12-12 01:03:10,INMP441,50.0,Background Noise,50.0,0.0,-109,6.5
2025-12-12 01:04:10,INMP441,50.0,People,50.0,0.0,-108,5.3
2025-12-12 01:05:10,INMP441,50.0,People,50.0,0.0,-110,5.3
2025-12-12 01:06:10,INMP441,50.0,People,50.0,0.0,-104,9.5
2025-12-12 01:07:10,INMP441,50.0,Background Noise,50.0,0.0,-105,9.5
2025-12-12 01:08:10,INMP441,50.0,People,50.0,0.0,-110,5.8
2025-12-12 01:09:10,INMP441,50.0,Background Noise,50.0,0.0,-106,8.5
2025-12-12 01:10:10,INMP441,50.0,Vehicle,50.0,0.0,-106,8.3
2025-12-12 01:11:10,INMP441,50.0,Background Noise,50.0,0.0,-109,6.0
2025-12-12 01:12:10,INMP441,50.0,People,50.0,0.0,-108,5.5
2025-12-12 01:13:10,INMP441,50.0,People,50.0,0.0,-106,8.3
2025-12-12 01:14:10,INMP441,50.0,People,50.0,0.0,-106,8.3
2025-12-12 01:15:10,INMP441,50.0,Background Noise,50.0,0.0,-109,5.3
2025-12-12 01:16:10,INMP441,50.0,People,50.0,0.0,-112,4.0
2025-12-12 01:17:10,INMP441,50.0,Background Noise,50.0,0.0,-104,10.0
2025-12-12 01:18:10,INMP441,50.0,People,50.0,0.0,-107,7.8
2025-12-12 01:19:10,INMP441,50.0,People,50.0,0.0,-109,5.8
2025-12-12 01:20:10,INMP441,64.1,People,53.9,3.0,-105,9.8
2025-12-12 01:21:10,INMP441,60.4,Background Noise,54.4,2.45,-107,8.5
2025-12-12 01:22:10,INMP441,59.7,Background Noise,54.7,2.24,-103,11.0
2025-12-12 01:23:11,INMP441,59.8,Background Noise,54.2,2.4,-107,7.5
2025-12-12 01:24:11,INMP441,60.2,Background Noise,54.1,2.65,-108,7.0
2025-12-12 01:25:11,INMP441,61.1,Background Noise,54.3,2.18,-105,9.0
2025-12-12 01:26:11,INMP441,60.4,Background Noise,54.3,2.48,-110,5.3
2025-12-12 01:27:11,INMP441,60.7,Background Noise,54.2,2.46,-108,7.5
2025-12-12 01:28:11,INMP441,63.2,Background Noise,54.4,2.35,-109,5.3
2025-12-12 01:29:11,INMP441,59.9,Background Noise,54.0,2.28,-104,10.3
2025-12-12 01:30:11,INMP441,59.6,Background Noise,54.3,2.0,-108,7.0
2025-12-12 01:31:11,INMP441,58.6,Background Noise,54.0,2.03,-107,6.0
2025-12-12 01:32:11,INMP441,60.2,Background Noise,54.1,2.37,-109,6.8
2025-12-12 01:33:11,INMP441,61.6,Background Noise,54.2,2.23,-113,2.0
2025-12-12 01:34:11,INMP441,60.5,Background Noise,54.1,2.03,-104,7.3
2025-12-12 01:35:11,INMP441,60.7,Background Noise,54.1,2.18,-110,6.0
2025-12-12 01:36:11,INMP441,59.8,Background Noise,54.1,2.18,-105,10.0
2025-12-12 01:37:11,INMP441,59.7,Background Noise,54.0,2.35,-110,5.8
2025-12-12 01:38:11,INMP441,60.3,Background Noise,54.2,2.56,-108,7.3
2025-12-12 01:39:11,INMP441,61.4,Background Noise,54.1,2.44,-111,5.0
2025-12-12 01:40:11,INMP441,59.1,Background Noise,54.0,2.28,-110,5.3
2025-12-12 01:41:11,INMP441,59.2,Background Noise,54.0,2.29,-108,7.3
2025-12-12 01:42:11,INMP441,59.3,Background Noise,54.1,2.18,-109,6.0
2025-12-12 01:43:11,INMP441,58.7,Background Noise,54.0,2.31,-107,8.3
2025-12-12 01:44:11,INMP441,60.2,Background Noise,54.1,1.94,-109,4.0
2025-12-12 01:45:11,INMP441,60.1,Background Noise,54.0,2.04,-104,10.8
2025-12-12 01:46:11,INMP441,59.5,Background Noise,54.0,2.04,-109,6.0
2025-12-12 01:47:11,INMP441,58.4,Background Noise,54.0,2.28,-107,9.0
