time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-14 01:14:43,INMP441,58.1,Background Noise,54.5,1.48,-107,5.8
2025-12-14 01:15:43,INMP441,58.5,Background Noise,54.7,1.45,-107,8.5
2025-12-14 01:16:43,INMP441,58.6,Background Noise,54.6,1.7,-109,6.3
2025-12-14 01:17:43,INMP441,58.6,Background Noise,54.7,1.51,-112,3.3
2025-12-14 01:18:43,INMP441,58.1,Background Noise,54.8,1.44,-114,0.3
2025-12-14 01:19:44,INMP441,58.4,Background Noise,54.7,1.74,-111,4.5
2025-12-14 01:20:44,INMP441,58.2,Background Noise,54.6,1.79,-107,7.8
2025-12-14 01:21:44,INMP441,59.2,Background Noise,54.7,1.7,-106,9.0
2025-12-14 01:22:44,INMP441,58.5,Background Noise,54.7,1.6,-107,5.3
2025-12-14 01:24:44,INMP441,58.8,Background Noise,54.6,1.46,-111,4.5
2025-12-14 01:25:44,INMP441,58.4,Background Noise,54.6,2.01,-106,8.3
2025-12-14 01:26:44,INMP441,57.7,Background Noise,54.5,1.44,-115,-1.3
2025-12-14 01:27:44,INMP441,59.3,Background Noise,54.6,1.67,-108,5.8
2025-12-14 01:28:44,INMP441,58.8,Background Noise,54.6,1.47,-110,6.3
2025-12-14 01:29:44,INMP441,58.9,Background Noise,54.5,1.5,-106,8.8
2025-12-14 01:30:44,INMP441,58.5,Background Noise,54.6,1.8,-111,3.8
2025-12-14 01:31:44,INMP441,58.7,Background Noise,54.7,1.41,-108,6.8
2025-12-14 01:32:44,INMP441,58.3,Background Noise,54.5,1.84,-107,9.0
2025-12-14 01:33:44,INMP441,58.6,Background Noise,54.5,1.42,-117,-8.0
2025-12-14 01:34:44,INMP441,58.1,Background Noise,54.6,1.41,-116,-5.3
2025-12-14 01:35:44,INMP441,58.3,Background Noise,54.6,1.56,-104,-1.3
2025-12-14 01:36:44,INMP441,57.7,Background Noise,54.5,1.87,-106,9.3
2025-12-14 01:37:44,INMP441,59.0,Background Noise,54.5,1.56,-109,6.5
2025-12-14 01:38:44,INMP441,58.2,Background Noise,54.6,1.91,-111,2.3
2025-12-14 01:39:44,INMP441,58.1,Background Noise,54.9,1.72,-116,-3.8
2025-12-14 01:40:44,INMP441,58.3,Background Noise,54.5,1.58,-105,8.3
2025-12-14 01:41:44,INMP441,58.4,Background Noise,54.6,1.49,-109,5.5
2025-12-14 01:42:45,INMP441,58.2,Background Noise,54.4,1.42,-115,-1.5
2025-12-14 01:43:45,INMP441,58.3,Background Noise,54.6,1.48,-106,7.8
2025-12-14 01:44:45,INMP441,58.2,Background Noise,54.7,1.6,-110,4.8
2025-12-14 01:45:45,INMP441,58.3,Background Noise,54.5,1.46,-106,7.3
2025-12-14 01:46:45,INMP441,59.1,Background Noise,54.8,1.81,-113,1.5
2025-12-14 01:47:45,INMP441,58.8,Background Noise,54.5,1.81,-115,-1.3
2025-12-14 01:48:45,INMP441,59.1,Background Noise,54.8,1.59,-107,7.8
2025-12-14 01:49:45,INMP441,58.2,Background Noise,54.4,1.98,-108,6.3
2025-12-14 01:50:45,INMP441,58.6,Background Noise,54.7,1.46,-111,3.0
2025-12-14 01:51:45,INMP441,58.7,Background Noise,54.7,1.51,-107,7.3
2025-12-14 01:52:45,INMP441,58.9,Background Noise,54.7,1.49,-107,7.8
2025-12-14 01:53:45,INMP441,58.1,Background Noise,54.7,1.42,-106,6.5
2025-12-14 01:54:45,INMP441,57.9,Background Noise,54.6,1.71,-110,6.0
2025-12-14 01:55:45,INMP441,58.4,Background Noise,54.7,1.57,-106,8.3
2025-12-14 01:56:45,INMP441,58.5,Background Noise,54.7,1.54,-116,-14.3
2025-12-14 01:57:45,INMP441,58.2,Background Noise,54.4,1.38,-115,-1.5
2025-12-14 01:58:45,INMP441,58.6,Background Noise,54.6,1.43,-111,-1.3
2025-12-14 01:59:45,INMP441,57.9,Background Noise,54.7,1.52,-118,-14.0
2025-12-14 02:00:45,INMP441,58.8,Background Noise,54.7,1.54,-117,-12.3
2025-12-14 02:01:45,INMP441,57.9,Background Noise,54.4,1.94,-108,5.8
2025-12-14 02:02:45,INMP441,58.3,Background Noise,54.7,1.45,-106,6.5
2025-12-14 02:03:45,INMP441,58.3,Background Noise,54.8,1.73,-107,7.8
2025-12-14 02:04:45,INMP441,58.5,Background Noise,54.5,1.49,-110,5.0
2025-12-14 02:05:45,INMP441,58.0,Background Noise,54.6,1.5,-108,7.0
2025-12-14 02:06:45,INMP441,59.0,Background Noise,54.8,1.44,-111,3.5
2025-12-14 02:07:45,INMP441,59.1,Background Noise,54.7,1.47,-107,7.8
2025-12-14 02:08:45,INMP441,58.7,Background Noise,54.7,1.54,-107,8.0
2025-12-14 02:09:46,INMP441,58.5,Background Noise,54.7,1.46,-110,5.0
2025-12-14 02:10:46,INMP441,57.9,Background Noise,54.6,1.63,-112,1.8
2025-12-14 02:11:46,INMP441,58.5,Background Noise,54.5,1.72,-110,-10.8
2025-12-14 02:12:46,INMP441,58.8,Background Noise,54.7,1.49,-108,5.3
2025-12-14 02:13:46,INMP441,58.3,Background Noise,54.8,1.73,-108,6.5
2025-12-14 02:14:46,INMP441,57.7,Background Noise,54.9,1.4,-111,3.5
2025-12-14 02:15:46,INMP441,58.0,Background Noise,54.5,1.63,-116,-4.3
2025-12-14 02:16:46,INMP441,58.4,Background Noise,54.5,1.55,-110,4.5
