time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-02-09 00:01:52,NODO 1.15,24.74,79.8,1011.0,3847.0,0,-108,0.3
2026-02-09 00:01:56,NODO 1.20,25.15,77.49,1011.0,3905.0,0,-108,7.0
2026-02-09 00:02:03,NODO 1.11,24.61,74.46,1009.0,4028.0,0,-100,10.3
2026-02-09 00:03:17,NODO 1.25,24.72,71.37,1010.0,3935.0,8.3,-117,-8.3
2026-02-09 00:04:40,NODO 1.16,24.74,100.0,1010.0,3891.0,0,-116,-3.8
2026-02-09 00:05:30,NODO 1.3,24.91,70.91,1010.0,3886.0,0,-99,11.5
2026-02-09 00:10:24,NODO 1.31,24.77,73.76,1010.0,3915.0,0,-115,-1.0
2026-02-09 00:10:49,NODO 1.2,24.79,82.52,1010.0,3930.0,0,-92,13.5
2026-02-09 00:11:25,NODO 1.7,24.65,74.12,1010.0,3964.0,0,-113,1.8
2026-02-09 00:11:35,NODO 1.28,25.03,80.69,1010.0,3827.0,0,-117,-6.5
2026-02-09 00:12:05,NODO 1.10,24.84,71.83,1010.0,3930.0,7.7,-92,13.5
2026-02-09 00:13:39,NODO 1.14,25.34,72.51,1010.0,3935.0,0,-84,14.0
2026-02-09 00:14:20,NODO 1.5,25.34,70.56,1010.0,3886.0,0,-100,12.0
2026-02-09 00:14:42,NODO 1.32,25.18,86.39,1010.0,3959.0,0,-114,1.0
2026-02-09 00:14:47,NODO 1.18,24.95,79.54,1010.0,3925.0,8.2,-85,13.3
2026-02-09 00:16:12,NODO 1.13,25.19,70.37,1010.0,3945.0,0,-105,7.5
2026-02-09 00:16:26,NODO 1.27,24.87,70.43,1010.0,3753.0,7.0,-99,12.3
2026-02-09 00:18:40,NODO 1.9,25.63,68.67,1011.0,3930.0,0,-96,13.3
2026-02-09 00:19:22,NODO 1.26,25.06,75.09,1010.0,3871.0,0,-115,-1.5
2026-02-09 00:20:33,NODO 1.29,24.79,73.12,1009.0,3920.0,0,-107,8.3
2026-02-09 00:20:48,NODO 1.19,24.4,70.58,1010.0,3156.0,0,-85,13.3
2026-02-09 00:21:09,NODO 1.12,24.86,73.29,1010.0,3925.0,0,-101,12.0
2026-02-09 00:24:10,NODO 1.4,25.01,70.15,1010.0,2528.0,0,-100,10.3
2026-02-09 00:25:09,NODO 1.1,24.49,73.83,1009.0,3896.0,0,-105,9.0
2026-02-09 00:25:23,NODO 1.24,24.64,73.11,1010.0,3930.0,0,-113,3.0
2026-02-09 00:25:34,NODO 1.23,24.56,73.85,1009.0,3984.0,0,-116,-2.3
