time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-03-30 00:00:48,NODO 1.23,26.16,71.44,1006.0,4062.0,91.8,-115,-0.8
2026-03-30 00:01:54,NODO 1.28,26.52,81.22,1007.0,4077.0,93.5,-113,0.8
2026-03-30 00:02:20,NODO 1.2,26.28,76.98,1006.0,3861.0,92.8,-108,5.5
2026-03-30 00:02:33,NODO 1.3,26.31,70.26,1007.0,3788.0,90.0,-91,10.0
2026-03-30 00:02:37,NODO 1.24,25.68,75.68,1006.0,4077.0,91.2,-107,8.5
2026-03-30 00:07:00,NODO 1.6,25.62,74.17,1007.0,3812.0,88.7,-107,5.5
2026-03-30 00:07:49,NODO 1.27,26.11,74.02,1007.0,3817.0,86.0,-99,12.3
2026-03-30 00:08:22,NODO 1.12,26.52,73.3,1007.0,4052.0,88.0,-106,7.2
2026-03-30 00:08:24,NODO 1.12,26.53,73.22,1007.0,4052.0,90.6,-117,-6.8
2026-03-30 00:08:59,NODO 1.32,26.84,82.93,1006.0,3915.0,89.0,-114,0.2
2026-03-30 00:09:15,NODO 1.21,26.11,70.41,1007.0,3758.0,88.4,-113,0.2
2026-03-30 00:10:25,NODO 1.18,26.29,73.5,1006.0,3900.0,89.3,-87,13.8
2026-03-30 00:10:35,NODO 1.8,25.97,81.01,1005.0,3812.0,86.9,-115,-5.0
2026-03-30 00:12:29,NODO 1.5,26.65,71.2,1006.0,4018.0,86.5,-103,6.8
2026-03-30 00:12:52,NODO 1.29,26.23,74.08,1005.0,3949.0,86.9,-101,8.0
2026-03-30 00:15:41,NODO 1.22,26.62,72.68,1006.0,4033.0,89.6,-86,14.0
2026-03-30 00:16:03,NODO 1.20,26.69,76.92,1007.0,3949.0,90.1,-104,9.0
2026-03-30 00:20:21,NODO 1.19,25.09,57.6,1007.0,3298.0,85.0,-90,13.5
2026-03-30 00:22:39,NODO 1.17,26.17,65.1,1006.0,3886.0,83.1,-99,12.0
2026-03-30 00:24:39,NODO 1.10,25.82,69.56,1007.0,4057.0,84.6,-87,10.0
2026-03-30 00:25:11,NODO 1.15,25.74,80.57,1007.0,3788.0,81.1,-114,0.8
2026-03-30 00:25:40,NODO 1.13,26.32,70.38,1006.0,4082.0,83.0,-99,9.8
2026-03-30 00:25:58,NODO 1.9,26.7,70.43,1007.0,4052.0,91.2,-106,8.0
2026-03-30 00:26:31,NODO 1.25,25.49,74.58,1006.0,4062.0,92.9,-111,5.3
2026-03-30 00:27:21,NODO 1.14,26.49,73.28,1007.0,4047.0,92.8,-90,13.5
2026-03-30 00:27:38,NODO 1.11,26.15,73.49,1005.0,4008.0,95.0,-99,9.0
2026-03-30 00:27:50,NODO 1.31,26.04,69.64,1007.0,3891.0,93.1,-100,9.0
2026-03-30 00:28:06,NODO 1.4,26.29,70.84,1006.0,4077.0,93.3,-102,8.2
