time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-06-10 00:00:02,NODO 1.55,24.63,78.04,1008.0,3847.0,89.9,-79,9.0
2026-06-10 00:00:03,NODO 1.36,25.36,69.7,1005.0,3871.0,88.1,-117,-4.5
2026-06-10 00:00:16,NODO 1.32,26.12,100.0,1007.0,3822.0,88.8,-108,5.3
2026-06-10 00:00:58,NODO 1.38,25.81,66.13,1009.0,3900.0,87.6,-117,-7.0
2026-06-10 00:01:01,NODO 1.34,23.71,70.05,1006.0,4057.0,87.5,-113,1.5
2026-06-10 00:01:24,NODO 1.6,24.44,100.0,1008.0,3842.0,87.4,-103,6.2
2026-06-10 00:02:51,NODO 1.28,25.81,96.89,1008.0,3920.0,87.9,-113,2.0
