time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-06-11 00:00:22,NODO 1.19,25.17,58.09,1005.0,3827.0,89.8,-91,11.3
2026-06-11 00:00:37,NODO 1.7,26.84,77.38,1005.0,3719.0,87.7,-109,5.8
2026-06-11 00:00:54,NODO 1.15,25.57,84.92,1006.0,3935.0,86.7,-117,-6.0
2026-06-11 00:02:05,NODO 1.60,26.96,77.96,1005.0,3891.0,85.1,-115,-7.5
2026-06-11 00:02:19,NODO 1.29,26.99,88.82,1004.0,3915.0,85.4,-91,13.8
2026-06-11 00:03:58,NODO 1.20,26.86,100.0,1006.0,3832.0,85.4,-103,10.3
2026-06-11 00:05:40,NODO 1.22,27.37,100.0,1005.0,4038.0,88.6,-83,9.5
2026-06-11 00:07:34,NODO 1.16,26.23,100.0,1006.0,3881.0,88.1,-115,-5.2
2026-06-11 00:07:36,NODO 1.43,24.06,64.52,1005.0,4047.0,89.6,-91,9.0
2026-06-11 00:07:58,NODO 1.51,26.6,100.0,1006.0,3925.0,89.7,-112,-4.8
2026-06-11 00:08:07,NODO 1.53,25.93,71.55,1004.0,3935.0,90.8,-117,-8.8
