time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-09-22 00:00:11,NODO 1.41,25.62,66.67,1007.0,4013.0,89.9,-114,2.2
2026-09-22 00:00:43,NODO 1.07,26.21,100.0,1008.0,3900.0,91.4,-108,6.8
2026-09-22 00:00:51,NODO 1.44,25.22,86.63,1007.0,4067.0,91.7,-103,8.8
2026-09-22 00:01:46,NODO 1.57,25.95,100.0,1006.0,3420.0,86.8,-114,2.2
2026-09-22 00:02:00,NODO 1.58,26.93,84.8,1007.0,3719.0,83.1,-104,8.5
2026-09-22 00:02:28,NODO 1.13,27.1,100.0,1007.0,4082.0,84.1,-105,3.0
2026-09-22 00:03:37,NODO 1.05,26.65,100.0,1007.0,3920.0,84.4,-105,8.8
2026-09-22 00:03:59,NODO 1.40,25.58,80.74,1006.0,4106.0,85.0,-88,9.0
2026-09-22 00:04:05,NODO 1.27,26.19,86.91,1004.0,4028.0,91.0,-88,9.5
2026-09-22 00:04:14,NODO 1.10,26.3,100.0,1007.0,3886.0,92.7,-105,5.5
2026-09-22 00:04:55,NODO 1.36,26.36,100.0,1004.0,3690.0,88.8,-121,-8.0
2026-09-22 00:05:01,NODO 1.50,26.17,79.36,1009.0,4087.0,90.5,-118,-6.0
2026-09-22 00:05:25,NODO 1.29,26.56,100.0,1006.0,3749.0,86.9,-118,-0.5
2026-09-22 00:06:39,NODO 1.31,26.25,100.0,1008.0,3606.0,81.7,-118,-3.2
2026-09-22 00:06:42,NODO 1.26,26.54,100.0,1006.0,3935.0,82.4,-109,5.8
2026-09-22 00:07:53,NODO 1.19,25.38,63.51,1007.0,3714.0,82.7,-88,11.5
2026-09-22 00:09:18,NODO 1.33,25.8,73.07,1007.0,4038.0,82.0,-87,10.8
2026-09-22 00:09:47,NODO 1.43,25.22,92.94,1007.0,4028.0,85.7,-116,-1.5
2026-09-22 00:10:40,NODO 1.22,27.13,90.58,1007.0,4033.0,90.0,-91,9.2
2026-09-22 00:12:28,NODO 1.46,25.28,98.59,1005.0,4052.0,91.2,-83,9.5
2026-09-22 00:12:39,NODO 1.53,25.89,100.0,1006.0,3905.0,93.1,-100,8.2
2026-09-22 00:12:40,NODO 1.52,26.55,83.13,1007.0,3920.0,91.9,-120,-6.5
2026-09-22 00:12:45,NODO 1.55,25.79,0.0,1008.0,3871.0,90.3,-103,8.8
2026-09-22 00:12:46,NODO 1.56,25.96,89.95,1006.0,3298.0,82.1,-102,7.5
2026-09-22 00:14:31,NODO 1.59,26.78,100.0,1004.0,3861.0,77.8,-119,-3.0
2026-09-22 00:15:11,NODO 1.16,25.95,100.0,1008.0,3900.0,77.5,-114,
2026-09-22 00:15:26,NODO 1.02,26.59,100.0,1006.0,3651.0,54.1,-109,6.8
2026-09-22 00:18:02,NODO 1.34,24.88,95.89,1005.0,4057.0,73.4,-108,7.0
2026-09-22 00:18:56,NODO 1.60,27.02,86.8,1007.0,3896.0,86.2,-119,-2.5
2026-09-22 00:19:08,NODO 1.37,25.16,67.16,1007.0,4038.0,87.9,-119,-7.0
2026-09-22 00:19:35,NODO 1.39,25.09,67.68,1005.0,4116.0,90.1,-87,9.5
2026-09-22 00:20:27,NODO 1.28,26.82,100.0,1007.0,3881.0,92.4,-114,2.5
2026-09-22 00:21:04,NODO 1.25,25.44,96.93,1007.0,4062.0,92.4,-119,-6.0
2026-09-22 00:21:05,NODO 1.49,25.61,83.59,1005.0,2827.0,80.3,-101,9.2
2026-09-22 00:21:58,NODO 1.42,25.72,69.16,1006.0,3989.0,78.8,-120,-7.8
2026-09-22 00:22:22,NODO 1.14,26.71,100.0,1007.0,3886.0,62.7,-93,9.8
2026-09-22 00:23:17,NODO 1.51,26.59,93.62,1007.0,3817.0,54.1,-118,-0.8
2026-09-22 00:24:26,NODO 1.04,26.96,100.0,1006.0,3871.0,29.3,-102,10.5
2026-09-22 00:25:00,NODO 1.09,26.82,100.0,1007.0,4057.0,88.7,-109,
2026-09-22 00:25:42,NODO 1.54,25.93,88.61,1004.0,4008.0,88.9,-111,5.8
2026-09-22 00:26:50,NODO 1.38,26.82,83.79,1008.0,3749.0,87.5,-121,-10.0
2026-09-22 00:28:40,NODO 1.35,24.94,91.24,1007.0,4038.0,89.7,-120,-9.2
2026-09-22 00:29:16,NODO 1.17,26.6,100.0,1006.0,3905.0,90.1,-102,7.8
2026-09-22 00:29:33,NODO 1.45,25.59,63.61,1007.0,4033.0,89.8,-111,4.5
2026-09-22 00:30:03,NODO 1.41,25.6,66.85,1007.0,4013.0,89.9,-118,-1.2
2026-09-22 00:30:35,NODO 1.07,26.15,100.0,1008.0,3900.0,91.4,-111,6.0
2026-09-22 00:30:43,NODO 1.44,25.16,86.72,1007.0,4062.0,91.6,-113,1.5
2026-09-22 00:31:40,NODO 1.57,25.89,100.0,1005.0,3420.0,86.8,-119,-3.5
2026-09-22 00:31:54,NODO 1.58,26.85,85.33,1007.0,3714.0,83.0,-105,5.8
2026-09-22 00:32:23,NODO 1.13,27.03,100.0,1006.0,4077.0,83.9,-118,0.2
2026-09-22 00:33:29,NODO 1.05,26.57,100.0,1007.0,3920.0,84.2,-111,2.5
2026-09-22 00:33:49,NODO 1.40,25.55,80.9,1006.0,4106.0,84.8,-86,8.0
2026-09-22 00:33:58,NODO 1.27,26.1,88.28,1004.0,4018.0,90.8,-90,10.2
2026-09-22 00:34:07,NODO 1.10,26.22,100.0,1007.0,3886.0,92.6,-118,-3.8
2026-09-22 00:34:47,NODO 1.36,26.36,100.0,1004.0,3690.0,88.7,-103,8.8
2026-09-22 00:34:53,NODO 1.50,26.12,79.59,1009.0,4082.0,90.3,-120,-12.2
2026-09-22 00:35:15,NODO 1.29,26.47,100.0,1006.0,3753.0,86.8,-111,5.0
2026-09-22 00:36:32,NODO 1.31,26.18,100.0,1007.0,3606.0,81.7,-105,8.2
2026-09-22 00:36:35,NODO 1.26,26.42,100.0,1006.0,3935.0,82.4,-108,6.5
2026-09-22 00:37:46,NODO 1.19,25.32,63.87,1007.0,3719.0,82.8,-108,8.2
2026-09-22 00:39:11,NODO 1.33,25.78,73.96,1006.0,4047.0,82.3,-89,11.8
2026-09-22 00:39:39,NODO 1.43,25.18,93.44,1007.0,4028.0,85.8,-102,9.5
2026-09-22 00:40:33,NODO 1.22,27.04,90.14,1007.0,4028.0,90.1,-117,
2026-09-22 00:42:19,NODO 1.46,25.22,99.66,1005.0,4052.0,91.2,-85,10.5
2026-09-22 00:42:31,NODO 1.23,26.22,100.0,1006.0,3749.0,91.5,-114,3.2
2026-09-22 00:42:36,NODO 1.52,26.46,82.51,1006.0,3925.0,90.3,-119,-6.0
2026-09-22 00:42:36,NODO 1.53,25.79,100.0,1006.0,3900.0,89.0,-99,10.0
2026-09-22 00:42:36,NODO 1.56,25.89,90.46,1006.0,3303.0,80.4,-101,6.2
2026-09-22 00:42:37,NODO 1.55,25.72,0.0,1007.0,3861.0,71.9,-101,9.0
2026-09-22 00:44:22,NODO 1.59,26.69,100.0,1003.0,3856.0,77.2,-115,
2026-09-22 00:45:03,NODO 1.16,25.87,100.0,1007.0,3900.0,76.0,-119,-5.0
2026-09-22 00:45:21,NODO 1.02,26.47,100.0,1006.0,3651.0,52.8,-117,-4.8
2026-09-22 00:47:52,NODO 1.34,24.87,99.93,1004.0,4057.0,85.8,-108,6.8
