time,deviceName,latitude,longitude,battery_V,hour,minute,second,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr
2026-03-20 17:08:48,Alcance,9.02497673034668,-79.5344009399414,3.959,22.0,23.0,2.0,GatewayELII,-103,11.0,GatewayFacilidades,-109,5.8,GatewayTTN,,,GatewayTTN2,-35,10.2
2026-03-20 17:09:26,Alcance,9.024720191955566,-79.53485107421875,3.959,22.0,23.0,40.0,GatewayELII,-104,11.8,GatewayFacilidades,,,GatewayTTN,,,GatewayTTN2,-33,10.8
2026-03-20 17:10:01,Alcance,9.024571418762207,-79.53497314453125,3.959,22.0,24.0,15.0,GatewayELII,-102,12.2,GatewayFacilidades,-115,0.8,GatewayTTN,,,GatewayTTN2,-33,9.8
2026-03-20 17:10:36,Alcance,9.02479076385498,-79.53473663330078,3.959,22.0,24.0,50.0,GatewayELII,-100,12.2,GatewayFacilidades,-107,8.8,GatewayTTN,,,GatewayTTN2,-31,9.2
2026-03-20 17:11:15,Alcance,9.024673461914062,-79.53459167480469,3.964,22.0,25.0,28.0,GatewayELII,-101,12.5,GatewayFacilidades,-109,6.8,GatewayTTN,,,GatewayTTN2,-33,10.5
2026-03-20 17:11:53,Alcance,9.02453327178955,-79.53460693359375,3.949,22.0,26.0,6.0,GatewayELII,-102,11.5,GatewayFacilidades,-115,-0.5,GatewayTTN,,,GatewayTTN2,-31,9.8
2026-03-20 17:12:28,Alcance,9.024599075317383,-79.53453063964844,3.959,22.0,26.0,41.0,GatewayELII,-101,12.2,GatewayFacilidades,-108,8.0,GatewayTTN,,,GatewayTTN2,-31,9.2
2026-03-20 17:13:12,Alcance,9.024545669555664,-79.53457641601562,3.959,22.0,27.0,26.0,GatewayELII,-101,12.2,GatewayFacilidades,-102,11.3,GatewayTTN,,,GatewayTTN2,-33,9.5
2026-03-20 17:13:58,Alcance,9.024497032165527,-79.53469848632812,3.949,22.0,28.0,12.0,GatewayELII,-101,12.2,GatewayFacilidades,-113,2.0,GatewayTTN,,,GatewayTTN2,-33,10.5
2026-03-20 17:14:42,Alcance,9.024836540222168,-79.53447723388672,3.945,22.0,28.0,56.0,GatewayELII,-104,12.0,GatewayFacilidades,-107,7.0,GatewayTTN,,,GatewayTTN2,-33,11.5
