time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr
2026-06-26 07:43:50,Alcance,9.0254545211792,-79.52351379394531,26.0,1.2,5.0,3.92,12.0,43.0,49.0,1,980.7,980.7,-117.0,-8.8,GatewayELII,,,GatewayFacilidades,-117,-8.8,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:46:51,Alcance,9.030099868774414,-79.53235626220703,46.0,0.2,8.0,3.915,12.0,46.0,50.0,1,743.7,743.7,-117.0,-8.8,GatewayELII,,,GatewayFacilidades,-117,-8.8,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:47:21,Alcance,9.029587745666504,-79.53214263916016,54.0,0.2,8.0,3.915,12.0,47.0,20.0,1,686.6,686.6,-116.0,-2.8,GatewayELII,,,GatewayFacilidades,-116,-2.8,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:47:51,Alcance,9.028759002685547,-79.53106689453125,42.0,0.2,8.0,3.915,12.0,47.0,50.0,1,585.5,585.5,-114.0,-1.5,GatewayELII,-114,-1.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:48:51,Alcance,9.026717185974121,-79.52961730957031,56.0,0.2,9.0,3.915,12.0,48.0,50.0,1,562.4,562.4,-117.0,-8.2,GatewayELII,-117,-8.2,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:49:21,Alcance,9.025745391845703,-79.52983093261719,61.0,0.2,9.0,3.925,12.0,49.0,20.0,1,367.4,367.4,-113.0,,GatewayELII,,,GatewayFacilidades,-113,,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:50:21,Alcance,9.024866104125977,-79.53205108642578,71.0,0.2,8.0,3.915,12.0,50.0,20.0,2,162.3,242.4,-95.0,13.5,GatewayELII,-103,2.8,GatewayFacilidades,-95,13.5,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:50:51,Alcance,9.023733139038086,-79.5332260131836,38.0,0.2,9.0,3.915,12.0,50.0,50.0,2,117.9,140.8,-85.0,14.0,GatewayELII,-87,9.8,GatewayFacilidades,-85,14.0,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:51:21,Alcance,9.023320198059082,-79.53388977050781,77.0,0.2,9.0,3.915,12.0,51.0,20.0,2,138.5,185.7,-83.0,13.8,GatewayELII,-83,9.2,GatewayFacilidades,-87,13.8,GatewayEdificio3,,,GatewayOficina,,
2026-06-26 07:51:51,Alcance,9.022412300109863,-79.53360748291016,43.0,0.2,9.0,3.915,12.0,51.0,50.0,2,190.3,244.1,-88.0,14.0,GatewayELII,-88,9.8,GatewayFacilidades,-93,14.0,GatewayEdificio3,,,GatewayOficina,,
