time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr
2026-04-23 07:35:01,Alcance,9.027310371398926,-79.5224838256836,162.0,0.6,6.0,3.935,12.0,35.0,0.0,2,1151.8,1326.2,-110.0,5.8,GatewayELII,-115,-2.2,GatewayFacilidades,-110,5.8,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:35:32,Alcance,9.02730941772461,-79.5224838256836,162.0,0.2,6.0,3.915,12.0,35.0,32.0,2,1151.8,1326.2,-101.0,7.3,GatewayELII,-101,2.0,GatewayFacilidades,-108,7.3,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:36:02,Alcance,9.027327537536621,-79.52252197265625,161.0,0.2,6.0,3.925,12.0,36.0,2.0,1,1148.7,1148.7,-112.0,3.5,GatewayELII,,,GatewayFacilidades,-112,3.5,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:36:33,Alcance,9.027342796325684,-79.52252197265625,158.0,0.2,6.0,3.915,12.0,36.0,32.0,2,1149.3,1324.0,-108.0,7.0,GatewayELII,-111,4.0,GatewayFacilidades,-108,7.0,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:37:03,Alcance,9.027359962463379,-79.52251434326172,155.0,0.2,7.0,3.925,12.0,37.0,2.0,2,1150.8,1325.6,-106.0,5.0,GatewayELII,-106,-1.8,GatewayFacilidades,-108,5.0,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:37:33,Alcance,9.02737045288086,-79.52251434326172,153.0,0.2,7.0,3.915,12.0,37.0,32.0,2,1151.3,1325.9,-109.0,7.3,GatewayELII,-112,1.5,GatewayFacilidades,-109,7.3,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:38:03,Alcance,9.027368545532227,-79.52251434326172,153.0,0.2,8.0,3.92,12.0,38.0,2.0,1,1151.2,1151.2,-111.0,4.5,GatewayELII,,,GatewayFacilidades,-111,4.5,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:38:33,Alcance,9.02735710144043,-79.52251434326172,155.0,0.2,8.0,3.915,12.0,38.0,32.0,3,1150.7,1325.5,-110.0,5.0,GatewayELII,-112,2.2,GatewayFacilidades,-110,5.0,GatewayEdificio3,-114,,GatewayOficina,,
2026-04-23 07:39:03,Alcance,9.027347564697266,-79.52251434326172,156.0,0.1,9.0,3.915,12.0,39.0,2.0,3,1150.3,1325.2,-108.0,4.0,GatewayELII,-108,3.2,GatewayFacilidades,-111,4.0,GatewayEdificio3,-113,-2.8,GatewayOficina,,
2026-04-23 07:39:33,Alcance,9.02734088897705,-79.52251434326172,157.0,0.1,9.0,3.92,12.0,39.0,32.0,2,1150.0,1325.1,-109.0,4.8,GatewayELII,-109,4.5,GatewayFacilidades,-111,4.8,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:40:03,Alcance,9.027337074279785,-79.52251434326172,157.0,0.1,10.0,3.92,12.0,40.0,2.0,2,1149.8,1325.0,-106.0,5.8,GatewayELII,-106,-4.5,GatewayFacilidades,-109,5.8,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:40:33,Alcance,9.027338027954102,-79.52251434326172,157.0,0.1,10.0,3.915,12.0,40.0,32.0,2,1149.9,1325.0,-110.0,5.8,GatewayELII,-113,-1.8,GatewayFacilidades,-110,5.8,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:41:03,Alcance,9.027339935302734,-79.52250671386719,156.0,0.1,9.0,3.925,12.0,41.0,2.0,2,1150.7,1325.9,-109.0,7.0,GatewayELII,-111,4.0,GatewayFacilidades,-109,7.0,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:41:33,Alcance,9.02734088897705,-79.52249908447266,155.0,0.1,10.0,3.925,12.0,41.0,32.0,2,1151.6,1326.7,-109.0,3.3,GatewayELII,-109,,GatewayFacilidades,-110,3.3,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:42:03,Alcance,9.027338027954102,-79.52249908447266,155.0,0.1,10.0,3.915,12.0,42.0,2.0,2,1151.4,1327.7,-108.0,6.8,GatewayELII,-108,3.5,GatewayFacilidades,-109,6.8,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:42:33,Alcance,9.027338027954102,-79.52249908447266,155.0,0.1,10.0,3.915,12.0,42.0,32.0,1,1151.4,1151.4,-109.0,7.5,GatewayELII,,,GatewayFacilidades,-109,7.5,GatewayEdificio3,,,GatewayOficina,,
2026-04-23 07:43:03,Alcance,9.027338027954102,-79.52249145507812,155.0,0.1,10.0,3.925,12.0,43.0,3.0,3,1152.2,1327.4,-109.0,5.3,GatewayELII,-109,-0.8,GatewayFacilidades,-109,5.3,GatewayEdificio3,-117,-6.2,GatewayOficina,,
2026-04-23 07:43:33,Alcance,9.02733325958252,-79.52249145507812,156.0,0.1,10.0,3.915,12.0,43.0,33.0,3,1152.0,1328.4,-111.0,4.3,GatewayELII,-113,1.5,GatewayFacilidades,-111,4.3,GatewayEdificio3,-117,0.2,GatewayOficina,,
2026-04-23 07:44:03,Alcance,9.027326583862305,-79.52249145507812,156.0,0.1,10.0,3.925,12.0,44.0,3.0,2,1151.7,1328.2,-110.0,5.5,GatewayELII,-111,4.8,GatewayFacilidades,-110,5.5,GatewayEdificio3,,,GatewayOficina,,
