time,deviceName,latitude,longitude,battery_V,hour,minute,second,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr
2026-04-21 14:19:33,Alcance,9.024801254272461,-79.53445434570312,4.116,19.0,19.0,30.0,GatewayELII,-69,8.8,GatewayFacilidades,-100,7.5,GatewayEdificio3,,,,,
2026-04-21 14:19:34,Alcance,9.024801254272461,-79.53445434570312,4.116,19.0,19.0,30.0,GatewayELII,-99,9.5,GatewayFacilidades,-105,11.3,GatewayEdificio3,,,,,
2026-04-21 14:39:12,Alcance,9.02470874786377,-79.53459930419922,4.116,19.0,39.0,10.0,GatewayELII,-66,9.0,GatewayFacilidades,-100,11.3,GatewayEdificio3,,,,,
2026-04-21 14:39:43,Alcance,9.024603843688965,-79.5347900390625,4.121,19.0,39.0,41.0,GatewayELII,-69,9.2,GatewayFacilidades,-109,6.0,GatewayEdificio3,,,,,
2026-04-21 14:40:13,Alcance,9.02460765838623,-79.53474426269531,4.126,19.0,40.0,11.0,GatewayELII,-71,8.0,GatewayFacilidades,-97,11.0,GatewayEdificio3,,,,,
2026-04-21 14:40:43,Alcance,9.024608612060547,-79.53471374511719,4.116,19.0,40.0,41.0,GatewayELII,-71,11.2,GatewayFacilidades,-97,13.0,GatewayEdificio3,,,,,
2026-04-21 14:41:13,Alcance,9.024613380432129,-79.5346908569336,4.121,19.0,41.0,11.0,GatewayELII,-69,10.2,GatewayFacilidades,-110,3.3,GatewayEdificio3,,,,,
2026-04-21 14:41:43,Alcance,9.024622917175293,-79.53467559814453,4.116,19.0,41.0,41.0,GatewayELII,-73,9.5,GatewayFacilidades,-102,10.8,GatewayEdificio3,,,,,
2026-04-21 14:42:13,Alcance,9.024629592895508,-79.53466796875,4.126,19.0,42.0,11.0,GatewayELII,-77,11.0,GatewayFacilidades,-101,11.3,GatewayEdificio3,,,,,
2026-04-21 14:42:43,Alcance,9.024636268615723,-79.53466033935547,4.121,19.0,42.0,41.0,GatewayELII,-71,9.2,GatewayFacilidades,-97,11.5,GatewayEdificio3,,,,,
2026-04-21 14:43:14,Alcance,9.024639129638672,-79.53465270996094,4.116,19.0,43.0,11.0,GatewayELII,-71,10.0,GatewayFacilidades,-100,12.0,GatewayEdificio3,,,,,
2026-04-21 14:43:44,Alcance,9.024642944335938,-79.5346450805664,4.116,19.0,43.0,41.0,GatewayELII,-69,10.8,GatewayFacilidades,-98,12.8,GatewayEdificio3,,,,,
2026-04-21 14:44:14,Alcance,9.024645805358887,-79.5346450805664,4.121,19.0,44.0,11.0,GatewayELII,-75,9.8,GatewayFacilidades,-107,8.3,GatewayEdificio3,-99,9.5,,,
2026-04-21 14:44:44,Alcance,9.024650573730469,-79.5346450805664,4.116,19.0,44.0,41.0,GatewayELII,-66,9.8,GatewayFacilidades,-100,12.0,GatewayEdificio3,-95,10.0,,,
2026-04-21 14:45:14,Alcance,9.024649620056152,-79.5346450805664,4.106,19.0,45.0,11.0,GatewayELII,-73,10.5,GatewayFacilidades,-101,11.3,GatewayEdificio3,-91,9.8,,,
2026-04-21 14:45:46,Alcance,9.024653434753418,-79.53466033935547,4.062,19.0,45.0,41.0,GatewayELII,-67,9.8,GatewayFacilidades,,,GatewayEdificio3,-95,9.5,,,
2026-04-21 14:46:14,Alcance,9.024645805358887,-79.53467559814453,4.116,19.0,46.0,11.0,GatewayELII,-70,9.2,GatewayFacilidades,-101,11.5,GatewayEdificio3,-91,9.2,,,
2026-04-21 14:46:44,Alcance,9.024643898010254,-79.53467559814453,4.116,19.0,46.0,42.0,GatewayELII,-70,10.8,GatewayFacilidades,-98,12.8,GatewayEdificio3,-97,11.0,,,
2026-04-21 14:47:14,Alcance,9.024641990661621,-79.53466796875,4.116,19.0,47.0,12.0,GatewayELII,-73,9.2,GatewayFacilidades,-112,4.0,GatewayEdificio3,-97,9.5,,,
2026-04-21 14:47:44,Alcance,9.024646759033203,-79.53466033935547,4.121,19.0,47.0,42.0,GatewayELII,-72,10.0,GatewayFacilidades,-98,10.8,GatewayEdificio3,-97,10.0,,,
2026-04-21 14:48:14,Alcance,9.024652481079102,-79.53465270996094,4.116,19.0,48.0,12.0,GatewayELII,-70,10.2,GatewayFacilidades,-101,11.5,GatewayEdificio3,-107,8.0,,,
2026-04-21 14:48:51,Alcance,9.024659156799316,-79.5346450805664,4.121,19.0,48.0,42.0,GatewayELII,-77,9.5,GatewayFacilidades,,,GatewayEdificio3,-97,9.0,,,
2026-04-21 14:49:14,Alcance,9.024662017822266,-79.53463745117188,4.116,19.0,49.0,12.0,GatewayELII,-67,9.5,GatewayFacilidades,-104,9.5,GatewayEdificio3,-94,9.5,,,
2026-04-21 14:49:44,Alcance,9.024665832519531,-79.53463745117188,4.116,19.0,49.0,42.0,GatewayELII,-71,10.0,GatewayFacilidades,-97,12.5,GatewayEdificio3,-93,7.8,,,
2026-04-21 14:50:14,Alcance,9.02467155456543,-79.53463745117188,4.121,19.0,50.0,12.0,GatewayELII,-71,9.2,GatewayFacilidades,-104,1.5,GatewayEdificio3,-97,4.8,,,
