time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr,gw5_name,gw5_rssi,gw5_snr,gw6_name,gw6_rssi,gw6_snr
2026-07-22 08:25:23,Alcance,9.024301528930664,-79.5344009399414,60.0,0.1,9.0,3.753,13.0,25.0,23.0,3,30.4,356.2,-75.0,9.8,GatewayELII,-75,9.8,GatewayFacilidades,,,GatewayEdificio3,-107,-0.2,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-108,3.8,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:25:24,Alcance,9.024303436279297,-79.5344009399414,60.0,0.1,9.0,3.749,13.0,25.0,24.0,3,30.3,356.3,-84.0,9.5,GatewayELII,-84,9.5,GatewayFacilidades,,,GatewayEdificio3,-103,6.2,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-108,7.2,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:30:09,Alcance,9.024595260620117,-79.53465270996094,92.0,0.4,5.0,3.758,13.0,30.0,8.0,3,48.5,397.4,-93.0,9.5,GatewayELII,-93,9.5,GatewayFacilidades,,,GatewayEdificio3,-113,-3.2,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-111,4.5,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:30:39,Alcance,9.024601936340332,-79.53451538085938,70.0,0.4,5.0,3.744,13.0,30.0,39.0,2,34.0,387.9,-103.0,9.0,GatewayELII,-103,9.0,GatewayFacilidades,,,GatewayEdificio3,-114,3.2,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:31:09,Alcance,9.02463150024414,-79.53455352783203,73.0,0.4,5.0,3.749,13.0,31.0,9.0,3,39.0,393.2,-97.0,9.5,GatewayELII,-97,9.5,GatewayFacilidades,,,GatewayEdificio3,-115,-1.0,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-115,3.0,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:31:39,Alcance,9.024649620056152,-79.5345687866211,73.0,0.4,5.0,3.749,13.0,31.0,39.0,3,41.3,395.8,-88.0,9.5,GatewayELII,-88,9.5,GatewayFacilidades,,,GatewayEdificio3,-117,-1.8,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-114,2.8,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:32:13,Alcance,9.024663925170898,-79.5345458984375,69.0,0.3,6.0,3.749,13.0,32.0,9.0,3,39.7,396.2,-85.0,9.0,GatewayELII,-85,9.0,GatewayFacilidades,,,GatewayEdificio3,-113,1.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-118,1.0,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:32:39,Alcance,9.024675369262695,-79.53453826904297,67.0,0.3,7.0,3.744,13.0,32.0,39.0,3,39.5,396.6,-91.0,9.2,GatewayELII,-91,9.2,GatewayFacilidades,,,GatewayEdificio3,-114,2.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-110,4.0,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:33:09,Alcance,9.024682998657227,-79.53453063964844,67.0,0.3,9.0,3.744,13.0,33.0,9.0,3,39.2,397.5,-90.0,9.0,GatewayELII,-90,9.0,GatewayFacilidades,,,GatewayEdificio3,-116,-1.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,2.8,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:33:39,Alcance,9.024688720703125,-79.5345230102539,66.0,0.3,9.0,3.749,13.0,33.0,39.0,3,38.8,397.4,-89.0,9.5,GatewayELII,-89,9.5,GatewayFacilidades,,,GatewayEdificio3,-115,-2.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,3.8,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:34:09,Alcance,9.024690628051758,-79.5345230102539,67.0,0.3,9.0,3.753,13.0,34.0,9.0,3,38.9,397.6,-87.0,10.2,GatewayELII,-87,10.2,GatewayFacilidades,,,GatewayEdificio3,-110,5.0,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-119,-3.2,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:34:39,Alcance,9.024698257446289,-79.53451538085938,67.0,0.3,9.0,3.744,13.0,34.0,39.0,3,38.6,397.7,-95.0,10.0,GatewayELII,-95,10.0,GatewayFacilidades,,,GatewayEdificio3,-115,2.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,1.8,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:35:09,Alcance,9.024699211120605,-79.53450775146484,67.0,0.2,10.0,3.744,13.0,35.0,9.0,3,38.0,397.2,-84.0,9.0,GatewayELII,-84,9.0,GatewayFacilidades,,,GatewayEdificio3,-114,2.8,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-114,2.2,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:35:39,Alcance,9.024690628051758,-79.53451538085938,69.0,0.2,10.0,3.744,13.0,35.0,39.0,3,38.2,397.0,-91.0,9.0,GatewayELII,-91,9.0,GatewayFacilidades,,,GatewayEdificio3,-119,-5.0,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,1.5,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:36:09,Alcance,9.024694442749023,-79.53451538085938,70.0,0.2,10.0,3.744,13.0,36.0,9.0,3,38.4,397.4,-93.0,8.5,GatewayELII,-93,8.5,GatewayFacilidades,,,GatewayEdificio3,-119,-4.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,3.0,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:36:39,Alcance,9.024702072143555,-79.53450012207031,69.0,0.2,10.0,3.739,13.0,36.0,39.0,3,37.4,397.8,-95.0,9.2,GatewayELII,-95,9.2,GatewayFacilidades,,,GatewayEdificio3,-117,-1.2,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-114,3.0,GatewayFacilidadesDobleBanda815,,
2026-07-22 08:37:10,Alcance,9.024704933166504,-79.53450012207031,69.0,0.2,10.0,3.744,13.0,37.0,9.0,2,37.6,284.7,-96.0,9.5,GatewayELII,-96,9.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-109,4.8,GatewayFacilidadesDobleBanda815,,
