time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr,gw5_name,gw5_rssi,gw5_snr,gw6_name,gw6_rssi,gw6_snr
2026-07-23 07:29:26,Alcance,9.025595664978027,-79.5296859741211,52.0,0.1,17.0,3.964,12.0,29.0,25.0,2,370.7,493.2,-99.0,9.5,GatewayELII,,,GatewayFacilidades,,,GatewayEdificio3,-99,9.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-118,-4.0,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:29:56,Alcance,9.025489807128906,-79.52996063232422,51.0,0.1,16.0,3.964,12.0,29.0,55.0,2,339.7,466.8,-108.0,2.8,GatewayELII,,,GatewayFacilidades,,,GatewayEdificio3,-108,2.8,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-117,-1.5,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:30:26,Alcance,9.02536392211914,-79.53021240234375,48.0,0.1,16.0,3.964,12.0,30.0,25.0,2,309.0,440.5,-113.0,3.5,GatewayELII,,,GatewayFacilidades,,,GatewayEdificio3,-113,3.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-119,-1.8,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:31:26,Alcance,9.024819374084473,-79.5303955078125,55.0,0.1,18.0,3.959,12.0,31.0,25.0,3,252.8,421.4,-105.0,7.5,GatewayELII,-112,-5.2,GatewayFacilidades,,,GatewayEdificio3,-105,7.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-117,-0.8,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:31:56,Alcance,9.024579048156738,-79.53057098388672,55.0,0.1,17.0,3.949,12.0,31.0,55.0,3,220.1,400.8,-106.0,5.8,GatewayELII,-111,1.0,GatewayFacilidades,,,GatewayEdificio3,-106,5.8,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-119,-0.8,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:32:27,Alcance,9.024311065673828,-79.53074645996094,56.0,0.1,17.0,3.949,12.0,32.0,26.0,3,187.7,382.0,-103.0,10.0,GatewayELII,-108,6.0,GatewayFacilidades,,,GatewayEdificio3,-105,10.0,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-103,7.0,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:32:56,Alcance,9.024032592773438,-79.53091430664062,62.0,0.1,18.0,3.949,12.0,32.0,56.0,2,156.8,272.4,-102.0,8.0,GatewayELII,,,GatewayFacilidades,,,GatewayEdificio3,-102,5.2,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-107,8.0,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:33:27,Alcance,9.02380084991455,-79.53107452392578,58.0,0.1,18.0,3.949,12.0,33.0,26.0,3,131.0,354.1,-93.0,9.5,GatewayELII,-97,2.8,GatewayFacilidades,,,GatewayEdificio3,-93,6.8,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-99,9.5,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:33:57,Alcance,9.023590087890625,-79.53125,51.0,0.1,18.0,3.949,12.0,33.0,56.0,3,106.7,341.5,-91.0,9.8,GatewayELII,-104,7.8,GatewayFacilidades,,,GatewayEdificio3,-91,9.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-102,9.8,GatewayFacilidadesDobleBanda815,,
2026-07-23 07:34:27,Alcance,9.023333549499512,-79.53141784667969,49.0,0.1,18.0,3.959,12.0,34.0,26.0,3,87.8,333.9,-87.0,9.5,GatewayELII,-93,9.5,GatewayFacilidades,,,GatewayEdificio3,-87,9.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-91,9.0,GatewayFacilidadesDobleBanda815,,
