time,deviceName,latitude,longitude,battery_V,hour,minute,second,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr
2026-04-01 13:12:09,Alcance,9.024306297302246,-79.53547668457031,3.964,18.0,32.0,15.0,GatewayELII,,,GatewayFacilidades,-111,3.3,GatewayTTN,,,GatewayTTN2,-75,9.2
2026-04-01 13:13:33,Alcance,9.024296760559082,-79.5354995727539,3.949,18.0,33.0,39.0,GatewayELII,,,GatewayFacilidades,-108,6.8,GatewayTTN,,,GatewayTTN2,-76,10.0
2026-04-01 13:17:39,Alcance,9.024733543395996,-79.53478240966797,3.949,18.0,38.0,5.0,GatewayELII,-81,10.2,GatewayFacilidades,-111,4.3,GatewayEdificio3,-112,4.0,,,
2026-04-01 13:18:41,Alcance,9.024627685546875,-79.5346908569336,3.945,18.0,39.0,7.0,GatewayELII,-75,9.8,GatewayFacilidades,-102,11.5,GatewayEdificio3,-103,9.2,,,
2026-04-01 13:19:51,Alcance,9.024748802185059,-79.53431701660156,3.949,18.0,40.0,17.0,GatewayELII,-78,9.8,GatewayFacilidades,-113,2.3,GatewayEdificio3,-111,6.0,,,
2026-04-01 13:20:42,Alcance,9.02470588684082,-79.5343017578125,3.949,18.0,41.0,9.0,GatewayELII,-72,9.2,GatewayFacilidades,-105,9.3,GatewayEdificio3,-100,9.5,,,
2026-04-01 13:21:32,Alcance,9.024682998657227,-79.53443908691406,3.949,18.0,41.0,59.0,GatewayELII,-83,8.8,GatewayFacilidades,-100,11.3,GatewayEdificio3,-102,8.5,,,
2026-04-01 13:22:24,Alcance,9.0248441696167,-79.53419494628906,3.945,18.0,42.0,51.0,GatewayELII,-78,9.5,GatewayFacilidades,-111,3.5,GatewayEdificio3,-102,9.8,,,
2026-04-01 13:24:30,Alcance,9.024178504943848,-79.53438568115234,3.949,18.0,44.0,57.0,GatewayELII,-75,10.0,GatewayFacilidades,-90,11.8,GatewayEdificio3,-97,9.8,,,
2026-04-01 13:25:29,Alcance,9.024336814880371,-79.53450012207031,3.949,18.0,45.0,55.0,GatewayELII,-81,8.8,GatewayFacilidades,-100,11.8,GatewayEdificio3,-93,9.2,,,
2026-04-01 13:26:18,Alcance,9.024197578430176,-79.53453826904297,3.949,18.0,46.0,44.0,GatewayELII,-61,10.2,GatewayFacilidades,-92,13.3,GatewayEdificio3,-106,8.2,,,
2026-04-01 13:27:07,Alcance,9.022509574890137,-79.5335922241211,3.949,18.0,47.0,33.0,GatewayELII,-90,11.2,GatewayFacilidades,-92,13.5,GatewayEdificio3,-69,11.5,,,
2026-04-01 13:28:10,Alcance,9.023150444030762,-79.53158569335938,3.945,18.0,48.0,36.0,GatewayELII,-87,7.8,GatewayFacilidades,-77,13.3,GatewayEdificio3,-89,9.5,,,
2026-04-01 13:29:02,Alcance,9.02391529083252,-79.5322036743164,3.935,18.0,49.0,28.0,GatewayELII,-90,8.8,GatewayFacilidades,-77,14.3,GatewayEdificio3,-91,9.0,,,
2026-04-01 13:29:48,Alcance,9.023691177368164,-79.53202819824219,3.949,18.0,50.0,14.0,GatewayELII,-87,11.2,GatewayFacilidades,-59,14.0,GatewayEdificio3,-95,10.2,,,
2026-04-01 13:30:30,Alcance,9.023909568786621,-79.53182220458984,3.945,18.0,50.0,56.0,GatewayELII,-87,2.5,GatewayFacilidades,-59,13.8,GatewayEdificio3,-90,8.5,,,
2026-04-01 13:31:12,Alcance,9.023927688598633,-79.53186798095703,3.945,18.0,51.0,38.0,GatewayELII,-85,9.8,GatewayFacilidades,-59,13.8,GatewayEdificio3,-84,8.8,,,
2026-04-01 13:31:54,Alcance,9.023876190185547,-79.53192901611328,3.935,18.0,52.0,20.0,GatewayELII,-89,9.5,GatewayFacilidades,-61,14.3,GatewayEdificio3,-90,9.5,,,
2026-04-01 13:32:37,Alcance,9.023975372314453,-79.53153228759766,3.935,18.0,53.0,3.0,GatewayELII,-89,9.0,GatewayFacilidades,-60,14.0,GatewayEdificio3,-85,9.2,,,
2026-04-01 13:33:17,Alcance,9.023993492126465,-79.53175354003906,3.949,18.0,53.0,43.0,GatewayELII,-85,8.8,GatewayFacilidades,-64,14.5,GatewayEdificio3,-87,10.0,,,
2026-04-01 13:34:00,Alcance,9.023785591125488,-79.53190612792969,3.949,18.0,54.0,26.0,GatewayELII,-106,7.5,GatewayFacilidades,-63,13.5,GatewayEdificio3,-84,9.2,,,
2026-04-01 13:34:41,Alcance,9.02395248413086,-79.53180694580078,3.949,18.0,55.0,7.0,GatewayELII,-95,9.8,GatewayFacilidades,-62,10.8,GatewayEdificio3,-87,9.8,,,
