time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr,gw5_name,gw5_rssi,gw5_snr,gw6_name,gw6_rssi,gw6_snr,gw7_name,gw7_rssi,gw7_snr,gw8_name,gw8_rssi,gw8_snr
2026-08-01 11:51:51,Alcance,9.025618553161621,-79.52981567382812,,,,3.915,16.0,51.0,50.0,1,482.6,482.6,-93.0,8.8,GatewayELII,-93,8.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,,,GatewayELIIDobleBanda815,,
2026-08-01 11:51:52,Alcance,9.025583267211914,-79.52984619140625,,,,3.896,16.0,51.0,51.0,1,477.5,477.5,-103.0,4.5,GatewayELII,-103,4.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,,,GatewayELIIDobleBanda815,,
2026-08-01 11:52:22,Alcance,9.026277542114258,-79.53067779541016,,,,3.891,16.0,52.0,21.0,1,507.6,507.6,-109.0,-0.8,GatewayELII,-109,-0.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,,,GatewayELIIDobleBanda815,,
2026-08-01 11:52:52,Alcance,9.025531768798828,-79.5316162109375,,,,3.891,16.0,52.0,51.0,3,238.8,402.0,-100.0,8.8,GatewayELII,-100,8.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,6.8,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-112,1.2,GatewayELIIDobleBanda815,,
2026-08-01 11:53:22,Alcance,9.024395942687988,-79.53236389160156,,,,3.9,16.0,53.0,21.0,3,105.8,271.6,-90.0,7.2,GatewayELII,-90,6.2,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-103,6.5,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-111,7.2,GatewayELIIDobleBanda815,,
2026-08-01 11:53:52,Alcance,9.023565292358398,-79.53325653076172,,,,3.9,16.0,53.0,51.0,3,117.7,214.1,-83.0,10.5,GatewayELII,-89,10.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-93,10.0,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-83,9.2,GatewayELIIDobleBanda815,,
2026-08-01 11:54:22,Alcance,9.023350715637207,-79.53395080566406,,,,3.9,16.0,54.0,21.0,3,137.4,248.5,-75.0,10.5,GatewayELII,-91,9.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-102,6.2,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-75,10.5,GatewayELIIDobleBanda815,,
2026-08-01 11:54:52,Alcance,9.023640632629395,-79.53400421142578,,,,3.891,16.0,54.0,51.0,3,104.7,274.0,-81.0,10.2,GatewayELII,-96,9.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-112,3.0,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-81,10.2,GatewayELIIDobleBanda815,,
2026-08-01 11:55:22,Alcance,9.023755073547363,-79.53394317626953,,,,3.861,16.0,55.0,22.0,3,94.2,278.1,-75.0,9.0,GatewayELII,-97,8.2,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-117,-0.2,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-75,9.0,GatewayELIIDobleBanda815,,
2026-08-01 11:55:52,Alcance,9.023748397827148,-79.533935546875,,,,3.881,16.0,55.0,52.0,3,95.1,277.0,-73.0,10.0,GatewayELII,-91,9.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-112,4.8,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-73,10.0,GatewayELIIDobleBanda815,,
2026-08-01 11:56:22,Alcance,9.023743629455566,-79.533935546875,,,,3.891,16.0,56.0,22.0,2,95.6,276.6,-72.0,7.5,GatewayELII,-97,7.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-72,7.2,GatewayELIIDobleBanda815,,
2026-08-01 11:56:52,Alcance,9.023727416992188,-79.53392791748047,,,,3.822,16.0,56.0,52.0,3,97.6,275.5,-90.0,9.5,GatewayELII,-103,7.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-117,-4.2,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-90,9.5,GatewayELIIDobleBanda815,,
2026-08-01 11:57:22,Alcance,9.023748397827148,-79.53395080566406,,,,3.856,16.0,57.0,22.0,3,94.6,278.9,-89.0,9.5,GatewayELII,-102,8.0,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-118,-6.5,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-89,9.5,GatewayELIIDobleBanda815,,
2026-08-01 11:57:52,Alcance,9.023738861083984,-79.533935546875,,,,3.851,16.0,57.0,52.0,3,96.2,277.0,-91.0,9.8,GatewayELII,-102,8.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-114,3.0,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-91,9.8,GatewayELIIDobleBanda815,,
2026-08-01 11:58:23,Alcance,9.0237455368042,-79.53379821777344,,,,3.822,16.0,58.0,22.0,3,101.2,267.3,-71.0,10.5,GatewayELII,-99,9.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-111,6.0,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-71,10.5,GatewayELIIDobleBanda815,,
2026-08-01 11:58:53,Alcance,9.023785591125488,-79.53370666503906,,,,3.861,16.0,58.0,52.0,3,102.3,264.1,-82.0,9.0,GatewayELII,-107,7.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-113,4.8,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-82,9.0,GatewayELIIDobleBanda815,,
