time,gatewayId,deviceName,gwSeq,accXRMS,accYRMS,accZRMS,temperature,humidity,bvoc,iaq,anomaly,label,classConfidence
2026-08-10 00:03:37,OPTA,NICLABH1,1166236,0.0054,0.0542,0.9968,31.31,52.18,0.55,410.0,-0.623,Motor_apagado,0.996
2026-08-10 00:13:36,OPTA,NICLABH1,1166728,0.0054,0.0542,0.9968,31.31,51.2,0.53,370.0,-0.627,Motor_apagado,0.996
2026-08-10 00:23:36,OPTA,NICLABH1,1167220,0.0054,0.0544,0.9971,31.28,51.2,0.52,360.0,-0.504,Motor_apagado,0.996
2026-08-10 00:33:37,OPTA,NICLABH1,1167712,0.0054,0.0542,0.9971,31.23,51.2,0.56,420.0,-0.522,Motor_apagado,0.996
2026-08-10 00:43:38,OPTA,NICLABH1,1168206,0.0054,0.0542,0.9971,31.23,51.2,0.53,370.0,0.932,Motor_apagado,0.996
2026-08-10 00:53:38,OPTA,NICLABH1,1168698,0.0056,0.0544,0.9968,31.2,51.2,0.53,370.0,0.251,Motor_apagado,0.996
2026-08-10 01:03:37,OPTA,NICLABH1,1169190,0.0056,0.0544,0.9968,31.18,51.2,0.53,360.0,-0.074,Motor_apagado,0.996
2026-08-10 01:13:38,OPTA,NICLABH1,1169682,0.0054,0.054,0.9971,31.14,51.21,0.52,340.0,-0.423,Motor_apagado,0.996
2026-08-10 01:23:38,OPTA,NICLABH1,1170175,0.0054,0.0542,0.9968,31.13,51.2,0.53,380.0,-0.405,Motor_apagado,0.996
2026-08-10 01:33:39,OPTA,NICLABH1,1170668,0.0051,0.0542,0.9971,31.1,51.2,0.53,360.0,-0.352,Motor_apagado,0.996
2026-08-10 01:43:39,OPTA,NICLABH1,1171161,0.0054,0.0542,0.9968,31.09,51.2,0.52,350.0,-0.361,Motor_apagado,0.996
2026-08-10 01:53:40,OPTA,NICLABH1,1171654,0.0054,0.0542,0.9968,31.08,51.21,0.53,370.0,0.111,Motor_apagado,0.996
2026-08-10 02:03:41,OPTA,NICLABH1,1172146,0.0054,0.0542,0.9968,31.06,51.2,0.56,440.0,0.074,Motor_apagado,0.996
2026-08-10 02:13:41,OPTA,NICLABH1,1172638,0.0056,0.0544,0.9968,31.04,52.21,0.56,430.0,-0.42,Motor_apagado,0.996
2026-08-10 02:23:42,OPTA,NICLABH1,1173131,0.0054,0.0544,0.9968,31.03,52.21,0.53,370.0,0.295,Motor_apagado,0.996
2026-08-10 02:33:42,OPTA,NICLABH1,1173624,0.0051,0.0542,0.9968,31.01,52.2,0.52,340.0,-0.519,Motor_apagado,0.996
2026-08-10 02:43:43,OPTA,NICLABH1,1174116,0.0051,0.0542,0.9968,30.98,52.2,0.53,360.0,0.213,Motor_apagado,0.996
2026-08-10 02:53:43,OPTA,NICLABH1,1174608,0.0049,0.0542,0.9966,30.96,52.2,0.53,360.0,-0.438,Motor_apagado,0.996
2026-08-10 03:03:44,OPTA,NICLABH1,1175101,0.0051,0.0542,0.9966,30.96,52.2,0.56,430.0,-0.397,Motor_apagado,0.996
2026-08-10 03:13:44,OPTA,NICLABH1,1175594,0.0049,0.0542,0.9968,30.92,51.2,0.55,400.0,-0.557,Motor_apagado,0.996
2026-08-10 03:23:45,OPTA,NICLABH1,1176087,0.0049,0.0542,0.9968,30.92,51.2,0.53,380.0,-0.277,Motor_apagado,0.996
2026-08-10 03:33:46,OPTA,NICLABH1,1176580,0.0051,0.0544,0.9966,30.88,51.2,0.53,380.0,-0.726,Motor_apagado,0.996
2026-08-10 03:43:46,OPTA,NICLABH1,1177071,0.0051,0.0544,0.9966,30.87,52.19,0.55,410.0,-0.499,Motor_apagado,0.996
2026-08-10 03:53:45,OPTA,NICLABH1,1177563,0.0054,0.0544,0.9966,30.85,52.2,0.56,420.0,-0.746,Motor_apagado,0.996
2026-08-10 04:03:45,OPTA,NICLABH1,1178055,0.0051,0.0544,0.9966,30.84,51.2,0.56,430.0,-0.324,Motor_apagado,0.996
