windowStart,windowEnd,sampleCount,gatewayId,deviceName,accXRMS_min,accYRMS_min,accZRMS_min,temperature_min,humidity_min,bvoc_min,iaq_min,anomaly_min,classConfidence_min,accXRMS_avg,accYRMS_avg,accZRMS_avg,temperature_avg,humidity_avg,bvoc_avg,iaq_avg,anomaly_avg,classConfidence_avg,accXRMS_max,accYRMS_max,accZRMS_max,temperature_max,humidity_max,bvoc_max,iaq_max,anomaly_max,classConfidence_max,dominantLabel,labelCounts
2026-07-30 23:58:48,2026-07-31 00:08:46,488,OPTA,NICLABH1,0.0044,0.0532,0.9956,29.84,56.17,1.81,2200.0,-1.933,0.996,0.00494,0.05365,0.99591,29.84928,56.19471,1.95078,2313.15574,-1.27888,0.996,0.0054,0.0542,0.9963,29.86,56.21,2.03,2370.0,-0.586,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 00:08:48,2026-07-31 00:18:47,488,OPTA,NICLABH1,0.0046,0.0532,0.9956,29.85,56.17,1.9,2270.0,-1.896,0.996,0.00494,0.05362,0.996,29.86012,56.19225,1.96928,2327.54098,-1.27696,0.996,0.0054,0.0542,0.9963,29.87,56.22,2.06,2400.0,0.012,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 00:18:49,2026-07-31 00:28:47,487,OPTA,NICLABH1,0.0044,0.0535,0.9956,29.85,56.17,1.91,2280.0,-1.941,0.996,0.00493,0.05386,0.99603,29.8648,56.1947,1.97975,2335.62628,-1.28962,0.996,0.0054,0.0544,0.9966,29.88,56.22,2.08,2400.0,-0.327,0.996,Motor_apagado,Motor_apagado:487
2026-07-31 00:28:49,2026-07-31 00:38:48,488,OPTA,NICLABH1,0.0044,0.0535,0.9958,29.85,56.17,1.9,2270.0,-1.987,0.996,0.00485,0.05372,0.99607,29.86619,56.19443,1.98457,2338.42213,-1.27956,0.996,0.0054,0.0542,0.9963,29.88,56.22,2.08,2410.0,-0.347,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 00:38:50,2026-07-31 00:48:48,488,OPTA,NICLABH1,0.0044,0.0535,0.9958,29.86,56.17,1.94,2300.0,-2.031,0.996,0.00492,0.05377,0.9961,29.87273,56.19291,2.00367,2352.2541,-1.27351,0.996,0.0054,0.0542,0.9963,29.88,56.22,2.07,2400.0,-0.315,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 00:48:51,2026-07-31 00:58:50,488,OPTA,NICLABH1,0.0044,0.0535,0.9958,29.87,56.17,1.97,2330.0,-1.928,0.996,0.00493,0.05383,0.99612,29.8827,56.19344,2.03506,2374.59016,-1.27788,0.996,0.0054,0.0544,0.9963,29.9,56.22,2.1,2430.0,-0.436,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 00:58:51,2026-07-31 01:08:49,487,OPTA,NICLABH1,0.0046,0.0532,0.9958,29.86,56.16,1.95,2310.0,-1.866,0.996,0.00492,0.05375,0.99614,29.87669,56.19632,2.02505,2368.27515,-1.28455,0.996,0.0054,0.054,0.9966,29.89,56.22,2.09,2420.0,-0.211,0.996,Motor_apagado,Motor_apagado:487
2026-07-31 01:08:51,2026-07-31 01:18:49,488,OPTA,NICLABH1,0.0044,0.0535,0.9958,29.86,56.17,1.96,2330.0,-1.951,0.996,0.00492,0.05372,0.9962,29.87137,56.19471,2.05086,2387.37705,-1.28924,0.996,0.0054,0.0542,0.9966,29.88,56.22,2.13,2450.0,-0.242,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 01:18:52,2026-07-31 01:28:51,488,OPTA,NICLABH1,0.0044,0.0535,0.9958,29.85,56.17,1.95,2310.0,-1.917,0.996,0.00496,0.05375,0.99622,29.86215,56.19572,2.03242,2372.95082,-1.29066,0.996,0.0054,0.0542,0.9966,29.87,56.22,2.12,2450.0,-0.015,0.996,Motor_apagado,Motor_apagado:488
2026-07-31 01:28:52,2026-07-31 01:38:50,487,OPTA,NICLABH1,0.0046,0.0532,0.9958,29.85,56.17,1.95,2310.0,-1.912,0.996,0.00497,0.0537,0.99627,29.85733,56.19298,2.03858,2377.86448,-1.27381,0.996,0.0056,0.0542,0.9966,29.87,56.22,2.13,2450.0,0.029,0.996,Motor_apagado,Motor_apagado:487
