time,deviceName,meterSerialNumber_tag,totalFordwardFlow,instantFlow,Vbat,time_meter_unix,time_meter_str,rssi,snr
2026-05-29 00:25:11,32862-710,32862710,721.251,0.0,3.7,1780014300000.0,2026-05-29 00:25:00,-99,8.8
2026-05-29 00:55:14,32862-710,32862710,721.251,0.0,3.7,1780016100000.0,2026-05-29 00:55:00,-85,9.5
2026-05-29 01:10:15,32862-710,32862710,721.251,0.0,3.7,1780017000000.0,2026-05-29 01:10:00,-89,9.8
2026-05-29 01:40:12,32862-710,32862710,721.251,0.0,3.7,1780018800000.0,2026-05-29 01:40:00,-87,10.2
2026-05-29 01:55:15,32862-710,32862710,721.251,0.0,3.7,1780019700000.0,2026-05-29 01:55:00,-83,9.0
2026-05-29 02:10:16,32862-710,32862710,721.251,0.0,3.7,1780020600000.0,2026-05-29 02:10:00,-85,9.5
2026-05-29 02:25:16,32862-710,32862710,721.251,0.001,3.7,1780021500000.0,2026-05-29 02:25:00,-84,9.8
2026-05-29 02:40:17,32862-710,32862710,721.251,0.0,3.7,1780022400000.0,2026-05-29 02:40:00,-85,9.0
2026-05-29 02:55:32,32862-710,32862710,721.251,0.0,3.7,1780023300000.0,2026-05-29 02:55:00,-84,9.2
2026-05-29 03:25:16,32862-710,32862710,721.251,0.0,3.7,1780025100000.0,2026-05-29 03:25:00,-87,9.5
2026-05-29 03:40:11,32862-710,32862710,721.251,0.0,3.7,1780026000000.0,2026-05-29 03:40:00,-95,10.0
2026-05-29 04:10:37,32862-710,32862710,721.251,0.0,3.7,1780027800000.0,2026-05-29 04:10:00,-89,9.8
2026-05-29 04:40:15,32862-710,32862710,721.251,0.0,3.7,1780029600000.0,2026-05-29 04:40:00,-85,9.5
2026-05-29 05:25:31,32862-710,32862710,721.254,0.0,3.7,1780032300000.0,2026-05-29 05:25:00,-85,9.5
2026-05-29 05:40:19,32862-710,32862710,721.335,0.427,3.7,1780033200000.0,2026-05-29 05:40:00,-82,8.8
2026-05-29 05:52:19,32862-710,32862710,721.352,0.083,3.7,1780033920000.0,2026-05-29 05:52:00,-84,9.2
2026-05-29 06:10:18,32862-710,32862710,721.422,0.44,3.7,1780035000000.0,2026-05-29 06:10:00,-85,9.2
2026-05-29 06:25:22,32862-710,32862710,721.567,0.0,3.7,1780035900000.0,2026-05-29 06:25:00,-81,9.0
2026-05-29 06:40:39,32862-710,32862710,721.591,0.0,3.7,1780036800000.0,2026-05-29 06:40:00,-85,10.5
2026-05-29 07:40:11,32862-710,32862710,721.894,0.25,3.68,1780040400000.0,2026-05-29 07:40:00,-94,9.8
2026-05-29 07:55:17,32862-710,32862710,721.964,0.434,3.68,1780041300000.0,2026-05-29 07:55:00,-84,9.2
2026-05-29 08:10:19,32862-710,32862710,722.012,0.007,3.68,1780042200000.0,2026-05-29 08:10:00,-84,11.0
2026-05-29 08:40:18,32862-710,32862710,722.088,0.008,3.68,1780044000000.0,2026-05-29 08:40:00,-85,10.2
2026-05-29 09:10:33,32862-710,32862710,722.126,0.009,3.68,1780045800000.0,2026-05-29 09:10:00,-89,9.5
2026-05-29 09:25:11,32862-710,32862710,722.14,0.437,3.68,1780046700000.0,2026-05-29 09:25:00,-84,9.8
2026-05-29 09:55:16,32862-710,32862710,722.196,0.433,3.68,1780048500000.0,2026-05-29 09:55:00,-85,9.2
2026-05-29 10:40:16,32862-710,32862710,722.313,0.003,3.68,1780051200000.0,2026-05-29 10:40:00,-89,10.2
2026-05-29 10:55:17,32862-710,32862710,722.321,0.004,3.68,1780052100000.0,2026-05-29 10:55:00,-87,9.2
2026-05-29 11:10:18,32862-710,32862710,722.347,0.002,3.68,1780053000000.0,2026-05-29 11:10:00,-85,9.8
2026-05-29 12:25:33,32862-710,32862710,722.394,0.018,3.68,1780057500000.0,2026-05-29 12:25:00,-87,10.0
2026-05-29 13:40:11,32862-710,32862710,722.455,0.005,3.68,1780062000000.0,2026-05-29 13:40:00,-101,9.8
2026-05-29 13:55:37,32862-710,32862710,722.459,0.009,3.68,1780062900000.0,2026-05-29 13:55:00,-87,9.5
2026-05-29 15:10:12,32862-710,32862710,722.459,0.0,3.7,1780067400000.0,2026-05-29 15:10:00,-95,9.2
2026-05-29 15:25:14,32862-710,32862710,722.459,0.0,3.7,1780068300000.0,2026-05-29 15:25:00,-84,10.5
2026-05-29 15:55:16,32862-710,32862710,722.459,0.0,3.7,1780070100000.0,2026-05-29 15:55:00,-85,9.5
2026-05-29 16:33:08,mt-08-b-33430251,33430251,0.041,0.0,3.66,1780072560000.0,2026-05-29 16:36:00,-108,4.8
2026-05-29 17:00:51,mt-b-08-33430401,33430401,0.209,0.0,3.64,1780074060000.0,2026-05-29 17:01:00,-97,9.8
2026-05-29 18:40:16,32862-710,32862710,722.46,0.017,3.7,1780080000000.0,2026-05-29 18:40:00,-83,9.2
2026-05-29 19:25:15,32862-710,32862710,722.461,0.01,3.7,1780082700000.0,2026-05-29 19:25:00,-80,10.0
2026-05-29 20:10:11,32862-710,32862710,722.461,0.001,3.7,1780085400000.0,2026-05-29 20:10:00,-82,9.8
2026-05-29 20:40:16,32862-710,32862710,722.461,0.0,3.7,1780087200000.0,2026-05-29 20:40:00,-82,9.2
2026-05-29 20:55:19,32862-710,32862710,722.461,0.0,3.7,1780088100000.0,2026-05-29 20:55:00,-82,10.0
