time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-26 00:00:05,INMP441,54.6,Background Noise,49.2,49.2,40.4,0.0,99.9,0.1,0.0,40.2,50.3,52.0,-111,4.5
2026-01-26 00:05:05,INMP441,54.8,Background Noise,49.5,49.5,0.0,0.0,100.0,0.0,0.0,40.3,50.3,52.4,-108,7.3
2026-01-26 00:10:05,INMP441,54.9,Background Noise,49.3,49.3,0.0,0.0,100.0,0.0,0.0,40.2,50.2,52.3,-110,4.8
2026-01-26 00:15:06,INMP441,56.0,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.2,52.1,-110,5.3
